"key"	"name_de"	"ddd"
"A01AD11"	"Verschiedene"	""
"A01AD18"	"Cholinsalicylat"	""
"A01AD20"	"Carbenoxolon"	""
"A01AD22"	"Milchsäure"	""
"A01AD50"	"Andere Mittel zur oralen Lokalbehandlung, Kombinationen"	""
"A01AD65"	"Dexpanthenol, Kombinationen"	""
"A01AD69"	"Mineralsalz, Kombinationen"	""
"A01AD71"	"Salicylate, Kombinationen"	""
"A01AD72"	"Speichelersatzlösungen"	""
"A01AE01"	"Lidocain"	""
"A01AE02"	"Tetracain"	""
"A01AE05"	"Polidocanol (Lauromacrogol 400)"	""
"A01AE51"	"Lidocain, Kombinationen"	""
"A01AE52"	"Tetracain, Kombinationen"	""
"A01AE53"	"Benzocain, Kombinationen"	""
"A01AE54"	"Propipocain, Kombinationen"	""
"A01AE55"	"Polidocanol (Lauromacrogol 400), Kombinationen"	""
"A01AH20"	"Kombinationen"	""
"A01AP01"	"Myrrhentinktur"	""
"A01AP02"	"Kamillenblüten"	""
"A01AP03"	"Salbeiblätter"	""
"A01AP10"	"Verschiedene"	""
"A01AP30"	"Kombinationen"	""
"A01AP50"	"Andere pflanzliche Stomatologika, Kombinationen"	""
"A01AP52"	"Kamillenblüten, Kombinationen"	""
"A02AA01"	"Magnesiumcarbonat"	""
"A02AA02"	"Magnesiumoxid"	""
"A02AA03"	"Magnesiumperoxid"	""
"A02AA04"	"Magnesiumhydroxid"	"3 g O"
"A02AA05"	"Magnesiumsilikat"	""
"A02AA10"	"Kombinationen"	""
"A02AB01"	"Aluminiumhydroxid"	""
"A02AB02"	"Algeldrat"	"5 g O"
"A02AB03"	"Aluminiumphosphat"	""
"A02AB04"	"Dihydroxyaluminiumnatriumcarbonat (Carbaldrat)"	""
"A02AB05"	"Aluminiumacetoacetat"	""
"A02AB06"	"Aloglutamol"	""
"A02AB07"	"Aluminiumglycinat"	""
"A02AB10"	"Kombinationen"	""
"A02AC01"	"Calciumcarbonat"	""
"A02AC02"	"Calciumsilikat"	"6 g O"
"A02AC10"	"Kombinationen"	""
"A02AD01"	"Einfache Salzkombinationen"	""
"A02AD02"	"Magaldrat"	"3,2 g O "
"A02AD03"	"Almagat"	""
"A02AD04"	"Hydrotalcit"	"3,5 g O "
"A02AD05"	"Almasilat"	"4 g O "
"A02AD06"	"Simaldrat"	"5 g O "
"A02AD10"	"Aluminiumoxid in Kombination mit Magnesiumhydroxid"	""
"A02AF01"	"Magaldrat und Karminativa"	""
"A02AF02"	"Einfache Salzkombinationen und Karminativa"	""
"A02AF03"	"Dihydroxyaluminiumnatriumcarbonat und Karminativa"	""
"A02AF04"	"Simaldrat und Karminativa"	""
"A02AF05"	"Aluminiumhydroxid und Karminativa"	""
"A02AG01"	"Antacida, Kombinationen mit Butinolin"	""
"A02AG02"	"Antacida, Kombinationen mit Atropin"	""
"A02AG20"	"Antacida, Kombinationen mit mehreren Spasmolytika"	""
"A02AH01"	"Natriumhydrogencarbonat"	""
"A02AH20"	"Kombinationen"	""
"A02AX01"	"Antacida, Kombinationen mit Bismutsalzen"	""
"A02AX02"	"Antacida, Kombinationen mit Lokalanästhetika"	""
"A02AX04"	"Antacida, Kombinationen mit Schwefel"	""
"A02AX50"	"Antacida, andere Kombinationen"	""
"A02BA01"	"Cimetidin"	"0,8 g O,P"
"A02BA02"	"Ranitidin"	"0,3 g O,P"
"A02BA03"	"Famotidin"	"40 mg O,P"
"A02BA04"	"Nizatidin"	"0,3 g O,P"
"A02BA05"	"Niperotidin"	""
"A02BA06"	"Roxatidin"	"0,15 g O"
"A02BA07"	"Ranitidinbismutcitrat"	"0,8 g O"
"A02BA08"	"Lafutidin"	"20 mg O"
"A02BA51"	"Cimetidin, Kombinationen"	""
"A02BA53"	"Famotidin, Kombinationen"	""
"A02BB01"	"Misoprostol"	"0,8 mg O"
"A02BB02"	"Enprostil"	"70 mcg O"
"A02BC01"	"Omeprazol"	"20 mg O,P"
"A02BC02"	"Pantoprazol"	"20 mg O,P "
"A02BC03"	"Lansoprazol"	"15 mg O "
"A02BC04"	"Rabeprazol"	"10 mg O,P "
"A02BC05"	"Esomeprazol"	"20 mg O,P "
"A02BC06"	"Dexlansoprazol"	"30 mg O"
"A02BC07"	"Dexrabeprazol"	""
"A02BC53"	"Lansoprazol, Kombinationen"	""
"A02BC54"	"Rabeprazol, Kombinationen"	""
"A02BD01"	"Omeprazol, Amoxicillin und Metronidazol"	""
"A02BD02"	"Lansoprazol, Tetracyclin und Metronidazol"	""
"A02BD03"	"Lansoprazol, Amoxicillin und Metronidazol"	""
"A02BD04"	"Pantoprazol, Amoxicillin und Clarithromycin"	"Kombinationspackung: 6 DE O "
"A02BD05"	"Omeprazol, Amoxicillin und Clarithromycin"	"Kombinationspackung: 6 DE O "
"A02BD06"	"Esomeprazol, Amoxicillin und Clarithromycin"	""
"A02BD07"	"Lansoprazol, Amoxicillin und Clarithromycin"	""
"A02BD08"	"Bismutsubcitrat, Tetracyclin und Metronidazol"	"12 Applikationsformen O "
"A02BD09"	"Lansoprazol, Clarithromycin und Tinidazol"	""
"A02BD10"	"Lansoprazol, Amoxicillin und Levofloxacin"	""
"A02BX01"	"Carbenoxolon"	"0,15 g O"
"A02BX02"	"Sucralfat"	"4 g O"
"A02BX03"	"Pirenzepin"	"0,1 g O; 20 mg P"
"A02BX04"	"Methiosulfoniumchlorid"	""
"A02BX05"	"Bismutsubcitrat"	"0,48 g O"
"A02BX06"	"Proglumid"	"1,2 g O"
"A02BX07"	"Gefarnat"	""
"A02BX08"	"Sulglicotid"	""
"A02BX09"	"Acetoxolon"	""
"A02BX10"	"Zolimidin"	""
"A02BX11"	"Troxipid"	""
"A02BX12"	"Bismutsubnitrat"	""
"A02BX13"	"Alginsäure"	""
"A02BX15"	"Silbereiweiß-Acetyltannat"	""
"A02BX17"	"Bismut(III)-citrat-hydroxid-Komplex"	""
"A02BX18"	"Dibismut-tris(tetraoxodialuminat)"	""
"A02BX22"	"Bismutsubsalicylat"	""
"A02BX50"	"Andere Ulkustherapeutika, Kombinationen exkl. Psycholeptika"	""
"A02BX51"	"Carbenoxolon, Kombinationen exkl. Psycholeptika"	""
"A02BX62"	"Bismutsubnitrat, Kombinationen exkl. Psycholeptika"	""
"A02BX63"	"Alginsäure, Kombinationen"	"Standarddosis: 10 Tabletten oder 50 ml Mixtur O "
"A02BX70"	"Andere Ulkustherapeutika, Kombinationen mit Psycholeptika"	""
"A02BX71"	"Carbenoxolon, Kombinationen mit Psycholeptika"	""
"A02BX77"	"Gefarnat, Kombinationen mit Psycholeptika"	""
"A02XA01"	"Kälberblutextrakt"	""
"A02XA03"	"Guajazulen"	""
"A02XA52"	"Benzocain, Kombinationen"	""
"A02XA53"	"Guajazulen, Kombinationen"	""
"A02XH01"	"Nux vomica"	""
"A02XH20"	"Kombinationen"	""
"A02XH50"	"Kombinationen mit anderen Mitteln"	""
"A02XP30"	"Kombinationen"	""
"A03AA01"	"Oxyphencyclimin"	"20 mg O"
"A03AA03"	"Camylofin"	"0,2 g O,R"
"A03AA04"	"Mebeverin"	"0,4 g O "
"A03AA05"	"Trimebutin"	"0,6 g O"
"A03AA06"	"Rociverin"	""
"A03AA07"	"Dicycloverin"	"80 mg O,P"
"A03AA08"	"Dihexyverin"	""
"A03AA09"	"Difemerin"	""
"A03AA30"	"Piperidolat"	""
"A03AA31"	"Phenamazid"	""
"A03AB01"	"Benzilon"	"70 mg O"
"A03AB02"	"Glycopyrronium"	"3 mg O,P,R"
"A03AB03"	"Oxyphenonium"	"25 mg O"
"A03AB04"	"Penthienat"	"15 mg O"
"A03AB05"	"Propanthelin"	"60 mg O,P"
"A03AB06"	"Otiloniumbromid"	""
"A03AB07"	"Methanthelinium"	"0,15 g O"
"A03AB08"	"Tridihexethyl"	"0,125 g O"
"A03AB09"	"Isopropamid"	"10 mg O"
"A03AB10"	"Hexocyclium"	"0,15 g O"
"A03AB11"	"Poldin"	"12 mg O"
"A03AB12"	"Mepenzolat"	"0,1 g O"
"A03AB13"	"Bevonium"	"0,2 g O"
"A03AB14"	"Pipenzolat"	"20 mg O"
"A03AB15"	"Diphemanil"	""
"A03AB16"	"(2-Benzhydryloxyethyl)diethylmethylammoniumiodid"	"0,3 g O"
"A03AB17"	"Tiemoniumiodid"	""
"A03AB18"	"Prifiniumbromid"	""
"A03AB19"	"Timepidiumbromid"	""
"A03AB20"	"Trospium"	""
"A03AB21"	"Fenpiverinium"	""
"A03AB53"	"Oxyphenonium, Kombinationen"	""
"A03AC02"	"Dimethylaminopropionylphenothiazin"	""
"A03AC04"	"Nicofetamid"	""
"A03AC05"	"Tiropramid"	""
"A03AD01"	"Papaverin"	"0,1 g O,P"
"A03AD02"	"Drotaverin"	"0,1 g O,P"
"A03AD30"	"Moxaverin"	"50 mg O"
"A03AE01"	"Alosetron"	"1 mg O"
"A03AE03"	"Cilansetron"	""
"A03AH01"	"Carum Carvi"	""
"A03AH10"	"Verschiedene"	""
"A03AH20"	"Kombinationen"	""
"A03AP01"	"Pfefferminzblätter"	""
"A03AP02"	"Kamillenblüten"	""
"A03AP03"	"Fenchelfrüchte"	""
"A03AP04"	"Melissenblätter"	""
"A03AP11"	"Sonstige"	""
"A03AP30"	"Kombinationen"	""
"A03AX01"	"Fenpipran"	""
"A03AX02"	"Diisopromin"	""
"A03AX03"	"Chlorbenzoxamin"	"0,15 g O"
"A03AX04"	"Pinaverium"	"0,15 g O"
"A03AX05"	"Fenoverin"	""
"A03AX06"	"Idanpramin"	""
"A03AX07"	"Proxazol"	""
"A03AX08"	"Alverin"	""
"A03AX09"	"Trepibuton"	""
"A03AX10"	"Isomethepten"	""
"A03AX11"	"Caroverin"	""
"A03AX12"	"Phloroglucinol"	""
"A03AX13"	"Silikone"	"0,5 g O"
"A03AX14"	"Valethamat"	""
"A03AX15"	"Cholinsalze"	""
"A03AX20"	"Kombinationen"	""
"A03AX30"	"Trimethyldiphenylpropylamin"	"50 mg O,P"
"A03AX31"	"Pramiverin"	""
"A03AX32"	"Denaverin"	""
"A03AX33"	"Dipiproverin"	""
"A03AX50"	"Andere Mittel bei funktionellen gastrointestinalen Störungen, Kombinationen"	""
"A03AX58"	"Alverin, Kombinationen"	""
"A03AX63"	"Silikone, Kombinationen"	""
"A03BA01"	"Atropin"	"1,5 mg O,P"
"A03BA03"	"Hyoscyamin"	"1,2 mg O"
"A03BA04"	"Belladonna-Gesamtalkaloide"	"1 mg O"
"A03BA20"	"Kombinationen"	""
"A03BB01"	"Butylscopolamin"	"60 mg O,P,R"
"A03BB02"	"Methylatropin"	"3 mg O"
"A03BB03"	"Methylscopolamin"	"12 mg O,P"
"A03BB04"	"Fentonium"	"60 mg O"
"A03BB05"	"Cimetropiumbromid"	""
"A03CA01"	"Isopropamid und Psycholeptika"	""
"A03CA02"	"Clidinium und Psycholeptika"	""
"A03CA03"	"Oxyphencyclimin und Psycholeptika"	""
"A03CA04"	"Otiloniumbromid und Psycholeptika"	""
"A03CA05"	"Glycopyrronium und Psycholeptika"	""
"A03CA06"	"Bevonium und Psycholeptika"	""
"A03CA07"	"Ambutonium und Psycholeptika"	""
"A03CA08"	"Diphemanil und Psycholeptika"	""
"A03CA09"	"Pipenzolat und Psycholeptika"	""
"A03CA30"	"Emepronium und Psycholeptika"	""
"A03CA34"	"Propanthelin und Psycholeptika"	""
"A03CA39"	"Moxaverin und Psycholeptika"	""
"A03CA42"	"Tridihexethyl und Psycholeptika"	""
"A03CA43"	"Benactyzin und Psycholeptika"	""
"A03CB01"	"Methylscopolamin und Psycholeptika"	""
"A03CB02"	"Belladonna-Gesamtalkaloide und Psycholeptika"	""
"A03CB03"	"Atropin und Psycholeptika"	""
"A03CB04"	"Methylhomatropin und Psycholeptika"	""
"A03CB31"	"Hyoscyamin und Psycholeptika"	""
"A03CB37"	"Xenytropiumbromid und Psycholeptika"	""
"A03CB38"	"Butylscopolamin und Psycholeptika"	""
"A03DA01"	"Tropenzilon und Analgetika"	""
"A03DA02"	"Pitofenon und Analgetika"	""
"A03DA03"	"Bevonium und Analgetika"	""
"A03DA04"	"Ciclonium und Analgetika"	""
"A03DA05"	"Camylofin und Analgetika"	""
"A03DA06"	"Trospium und Analgetika"	""
"A03DA07"	"Tiemoniumiodid und Analgetika"	""
"A03DA08"	"Barverin und Analgetika"	""
"A03DA09"	"Ambucetamid und Analgetika"	""
"A03DA12"	"Drofenin und Analgetika"	""
"A03DB04"	"Butylscopolamin und Analgetika"	""
"A03DC02"	"Tropinbenzilat und Analgetika"	""
"A03DC04"	"Pramiverin und Analgetika"	""
"A03DC05"	"Ethaverin und Analgetika"	""
"A03EA01"	"Ciclonium, Kombinationen"	""
"A03EA02"	"Butylscopolamin, Kombinationen"	""
"A03EA03"	"Tropinbenzilat, Kombinationen"	""
"A03EA04"	"Trospiumchlorid, Kombinationen"	""
"A03EA05"	"Drofenin, Kombinationen"	""
"A03EA06"	"Ethaverin, Kombinationen"	""
"A03EA40"	"Fencarbamid, Kombinationen"	""
"A03ED01"	"Benzylmandelat in Kombination mit anderen Mitteln"	""
"A03ED02"	"Ethaverin in Kombination mit anderen Mitteln"	""
"A03ED04"	"Butinolin in Kombination mit anderen Mitteln"	""
"A03FA01"	"Metoclopramid"	"30 mg O,P,R; 10 mg R Kinder DDD "
"A03FA02"	"Cisaprid"	"30 mg O,R"
"A03FA03"	"Domperidon"	"30 mg O,P; 0,12 g R"
"A03FA04"	"Bromoprid"	"20 mg O,P"
"A03FA05"	"Alizaprid"	"0,15 g O,P"
"A03FA06"	"Cleboprid"	""
"A03FA07"	"Itoprid"	""
"A03FA08"	"Dexpanthenol"	""
"A03FA51"	"Metoclopramid, Kombinationen"	""
"A03FA54"	"Bromoprid, Kombinationen"	""
"A03FP30"	"Kombinationen"	""
"A03HH10"	"Verschiedene"	""
"A03HH20"	"Kombinationen"	""
"A03PP01"	"Mohnkapsel"	""
"A03PP02"	"Schöllkraut"	"3,5 g O Droge; 21 mg O Gesamtalkaloide, berechnet als Chelidonin "
"A03PP03"	"Boldoblätter"	""
"A04AA01"	"Ondansetron"	"16 mg O,P,R"
"A04AA02"	"Granisetron"	"2 mg O; 3 mg P; 3,1 mg TD Pflaster, bezogen auf die Freisetzungsrate pro 24 Stunden"
"A04AA03"	"Tropisetron"	"5 mg O,P"
"A04AA04"	"Dolasetron"	"0,2 g O; 0,1 g P"
"A04AA05"	"Palonosetron"	"0,5 mg O; 0,25 mg P"
"A04AA55"	"Palonosetron, Kombinationen"	"0,5 mg O bezogen auf Palonosetron"
"A04AB02"	"Dimenhydrinat"	"0,275 g O; 0,2 g R "
"A04AB03"	"Thiethylperazin"	""
"A04AB04"	"Meclozin"	"37,5 mg O; 50 mg R "
"A04AB05"	"Diphenhydramin"	""
"A04AB52"	"Dimenhydrinat, Kombinationen"	""
"A04AB54"	"Meclozin, Kombinationen"	"37,5 mg O bezogen auf Meclozin; 50 mg R bezogen auf Meclozin "
"A04AB55"	"Diphenhydramin, Kombinationen"	""
"A04AB56"	"Doxylamin, Kombinationen"	""
"A04AB57"	"Chlorphenoxamin, Kombinationen"	""
"A04AB58"	"Promethazin, Kombinationen"	""
"A04AD01"	"Scopolamin"	""
"A04AD02"	"Ceriumoxalat"	""
"A04AD04"	"Chlorbutanol"	""
"A04AD05"	"Metopimazin"	"15 mg O,P"
"A04AD06"	"Triflupromazin"	""
"A04AD08"	"Chlorphenethazin"	""
"A04AD10"	"Dronabinol"	""
"A04AD11"	"Nabilon"	""
"A04AD12"	"Aprepitant, Fosaprepitant"	"95 mg O; 95 mg P bezogen auf Fosaprepitant (115 mg); 1 DE P bezogen auf Fosaprepitant (150 mg) "
"A04AD13"	"Casopitant"	""
"A04AD50"	"Andere Antiemetika, Kombinationen"	""
"A04AD51"	"Scopolamin, Kombinationen"	""
"A04AD54"	"Chlorbutanol, Kombinationen"	""
"A04AH10"	"Verschiedene homöopathische und anthroposophische Antiemetika"	""
"A04AH20"	"Kombinationen"	""
"A04AP01"	"Ingwerwurzelstock"	""
"A05AA01"	"Chenodeoxycholsäure"	""
"A05AA02"	"Ursodeoxycholsäure"	"0,75 g O"
"A05AA03"	"Cholsäure"	"0,25 g O Kinder DDD "
"A05AA05"	"Gesamtgallensäuren (Fel tauri)"	""
"A05AA11"	"Dehydrocholsäure"	""
"A05AA20"	"Kombinationen"	""
"A05AA54"	"Dehydrocholsäure, Kombinationen"	""
"A05AA55"	"Gesamtgallensäuren, Kombinationen"	""
"A05AB01"	"N-(Hydroxymethyl)nicotinamid"	""
"A05AB20"	"Kombinationen"	""
"A05AC01"	"Gallentherapeutika in Kombination mit Spasmolytika"	""
"A05AH20"	"Kombinationen"	""
"A05AP01"	"Schwarzrettichwurzel"	""
"A05AP03"	"Artischockenblätter"	"6 g O Droge; 30 g O Frischpflanze "
"A05AP04"	"Erdrauchkraut"	""
"A05AP05"	"Pfefferminzöl"	""
"A05AP06"	"Löwenzahnwurzel mit -kraut"	""
"A05AP07"	"Curcumawurzelstock"	"2 g O Javanische Gelbwurz; 2,25 g O Curcumawurzelstock "
"A05AP08"	"Glockenbilsenkrautwurzelstock"	""
"A05AP09"	"Gundelrebenkraut"	""
"A05AP10"	"Verschiedene"	""
"A05AP30"	"Kombinationen"	""
"A05AX01"	"Piprozolin"	""
"A05AX02"	"Hymecromon"	"1 g O "
"A05AX03"	"Cyclobutyrol"	""
"A05AX07"	"Fenipentol"	""
"A05AX08"	"Glyceroltrinitrat"	""
"A05AX09"	"Febuprol"	""
"A05AX50"	"Andere Mittel zur Gallentherapie, Kombinationen"	""
"A05BA01"	"Argininglutamat"	""
"A05BA04"	"Citiolon"	""
"A05BA05"	"Epomediol"	""
"A05BA06"	"Ornithinoxoglurat"	""
"A05BA07"	"Tidiacicarginin"	""
"A05BA08"	"Glycyrrhizinsäure"	""
"A05BA09"	"Methionin und N-Acetylmethionin"	""
"A05BA10"	"Cholin"	""
"A05BA12"	"Myo-Inositol"	""
"A05BA17"	"Ornithinaspartat"	""
"A05BA18"	"Cianidanol"	""
"A05BA50"	"Andere Lebertherapeutika, Kombinationen"	""
"A05BA60"	"Cholin, Kombinationen"	""
"A05BA61"	"Betain, Kombinationen"	""
"A05BA63"	"Cyanocobalamin, Kombinationen"	""
"A05BA66"	"Leucin, Kombinationen"	""
"A05BA67"	"Ornithinaspartat, Kombinationen"	""
"A05BA71"	"Laevulose, Kombinationen"	""
"A05BH01"	"Mariendistelfrüchte"	""
"A05BH10"	"Verschiedene"	""
"A05BH20"	"Kombinationen"	""
"A05BP01"	"Mariendistelfrüchte**"	"13,5 g O Droge; 0,3 g O bezogen auf Silymarin "
"A05BP02"	"Phospholipide"	""
"A05BP51"	"Mariendistelfrüchte, Kombinationen"	""
"A06AA01"	"Dickflüssiges Paraffin"	"15 g O"
"A06AA02"	"Docusat-Natrium"	"0,15 g O"
"A06AA03"	"Dünnflüssiges Paraffin"	""
"A06AA51"	"Dickflüssiges Paraffin, Kombinationen"	""
"A06AB01"	"Oxyphenisatin"	"10 mg O"
"A06AB02"	"Bisacodyl"	"10 mg O,R"
"A06AB03"	"Dantron"	"50 mg O"
"A06AB04"	"Phenolphthalein"	"0,2 g O"
"A06AB05"	"Rizinusöl"	"20 g O"
"A06AB06"	"Sennoside"	""
"A06AB07"	"Cascara"	""
"A06AB08"	"Natriumpicosulfat"	"5 mg O"
"A06AB09"	"Bisoxatin"	"0,12 g O"
"A06AB10"	"Koloquinthen"	"0,3 g O Droge "
"A06AB13"	"Aloe"	""
"A06AB20"	"Kontaktlaxanzien in Kombination"	""
"A06AB30"	"Kontaktlaxanzien in Kombination mit Belladonna-Alkaloiden"	""
"A06AB52"	"Bisacodyl, Kombinationen"	""
"A06AB53"	"Dantron, Kombinationen"	""
"A06AB56"	"Sennoside, Kombinationen"	""
"A06AB57"	"Cascara, Kombinationen"	""
"A06AB58"	"Natriumpicosulfat, Kombinationen"	""
"A06AB59"	"Bisoxatin, Kombinationen"	""
"A06AB60"	"Koloquinthen, Kombinationen"	""
"A06AB63"	"Aloe, Kombinationen"	""
"A06AC01"	"Ispaghula (Flohsamen)"	"7 g O"
"A06AC02"	"Ethulose"	"3 g O"
"A06AC03"	"Sterculia"	"8 g O"
"A06AC05"	"Leinsamen"	""
"A06AC06"	"Methylcellulose"	"2 g O"
"A06AC07"	"Triticum (Weizenkleie)"	"10 g O"
"A06AC08"	"Polycarbophil-Calcium"	"2,5 g O"
"A06AC51"	"Ispaghula, Kombinationen"	""
"A06AC53"	"Sterculia, Kombinationen"	""
"A06AC55"	"Leinsamen, Kombinationen"	""
"A06AC59"	"Bassorin, Kombinationen"	""
"A06AD01"	"Magnesiumcarbonat"	"7 g O"
"A06AD02"	"Magnesiumoxid"	"7 g O"
"A06AD03"	"Magnesiumperoxid"	""
"A06AD04"	"Magnesiumsulfat"	"7 g O"
"A06AD10"	"Mineralsalze in Kombination"	""
"A06AD11"	"Lactulose"	"12,5 g O "
"A06AD12"	"Lactitol"	"10 g O"
"A06AD13"	"Natriumsulfat"	""
"A06AD14"	"Pentaerythrityl"	""
"A06AD15"	"Macrogol"	"10 g O"
"A06AD16"	"Mannitol"	""
"A06AD17"	"Natriumphosphat"	"50 g O"
"A06AD18"	"Sorbitol"	"10 g O"
"A06AD19"	"Magnesiumcitrat"	""
"A06AD21"	"Natriumtartrat"	""
"A06AD61"	"Lactulose, Kombinationen"	""
"A06AD65"	"Macrogol, Kombinationen"	"Standarddosis: 2 Applikationsformen O "
"A06AG01"	"Natriumphosphat"	"Standarddosis: 1 Klysma R "
"A06AG02"	"Bisacodyl"	"Standarddosis: 1 Klysma R "
"A06AG03"	"Dantron, inkl. Kombinationen"	"Standarddosis: 1 Klysma R "
"A06AG04"	"Glycerol"	"Standarddosis: 1 Klysma R "
"A06AG06"	"Öl"	"Standarddosis: 1 Klysma R "
"A06AG07"	"Sorbitol"	"Standarddosis: 1 Klysma R "
"A06AG10"	"Docusat-Natrium, inkl. Kombinationen"	"Standarddosis: 1 Klysma R "
"A06AG11"	"Laurylsulfat, inkl. Kombinationen"	"Standarddosis: 1 Klysma R "
"A06AG20"	"Kombinationen"	"Standarddosis: 1 Klysma R "
"A06AH01"	"Methylnaltrexonbromid"	"6 mg P"
"A06AH02"	"Alvimopan"	""
"A06AH03"	"Naloxegol"	"25 mg O"
"A06AX01"	"Glycerol"	"2 g R "
"A06AX02"	"Kohlendioxid freisetzende Mittel"	""
"A06AX03"	"Lubiproston"	""
"A06AX04"	"Linaclotid"	"0,29 mg O"
"A06AX05"	"Prucaloprid"	"2 mg O"
"A06AX06"	"Tegaserod"	"12 mg O"
"A07AA01"	"Neomycin"	"5 g O"
"A07AA02"	"Nystatin"	"1,5 MIO E O"
"A07AA03"	"Natamycin"	"0,3 g O"
"A07AA04"	"Streptomycin"	""
"A07AA05"	"Polymyxin B"	"3 MIO E O"
"A07AA06"	"Paromomycin"	"3 g O"
"A07AA07"	"Amphotericin B"	"0,4 g O"
"A07AA08"	"Kanamycin"	""
"A07AA09"	"Vancomycin"	"2 g O"
"A07AA10"	"Colistin"	""
"A07AA11"	"Rifaximin"	"0,6 g O"
"A07AA12"	"Fidaxomicin"	"0,4 g O"
"A07AA51"	"Neomycin, Kombinationen"	""
"A07AA54"	"Streptomycin, Kombinationen"	""
"A07AB02"	"Phthalylsulfathiazol"	"9 g O"
"A07AB03"	"Sulfaguanidin"	"4 g O"
"A07AB04"	"Succinylsulfathiazol"	""
"A07AB06"	"Sulfaguanol"	""
"A07AB50"	"Andere Sulfonamide, Kombinationen"	""
"A07AC01"	"Miconazol"	"1 g O"
"A07AX01"	"Broxychinolin"	""
"A07AX02"	"Acetarsol"	""
"A07AX03"	"Nifuroxazid"	"0,6 g O"
"A07AX04"	"Nifurzid"	""
"A07AX05"	"Dichlorchinolinol"	""
"A07AX06"	"Furazolidon"	""
"A07AX07"	"Ethacridinlactat"	""
"A07AX51"	"Broxychinolin, Kombinationen"	""
"A07AX55"	"Dichlorchinolinol, Kombinationen"	""
"A07BA01"	"Medizinische Kohle"	"5 g O"
"A07BA51"	"Medizinische Kohle, Kombinationen"	""
"A07BB51"	"Bismut, Kombinationen"	""
"A07BC01"	"Pektin"	""
"A07BC02"	"Kaolin"	""
"A07BC03"	"Crospovidon"	""
"A07BC04"	"Attapulgit"	""
"A07BC05"	"Diosmectit"	"9 g O"
"A07BC07"	"Siliciumdioxid"	""
"A07BC08"	"Huminsäuren"	""
"A07BC30"	"Kombinationen"	""
"A07BC51"	"Pektin, Kombinationen"	""
"A07BC54"	"Attapulgit, Kombinationen"	""
"A07BC55"	"Diosmectit, Kombinationen"	""
"A07BP51"	"Johannisbrotfruchtmehl, Kombinationen"	""
"A07CA50"	"Elektrolyte zur oralen Rehydrierung, Kombinationen"	""
"A07DA01"	"Diphenoxylat"	"15 mg O"
"A07DA02"	"Opium"	"0,1 g O"
