"key"	"name_de"	"name_en"	"level"
"A02XA"	"Andere Mittel bei Säure bedingten Erkrankungen"	NA	4
"A02XH"	"Andere homöopathische und anthroposophische Mittel bei Säure bedingten Erkrankungen"	NA	4
"A02XP"	"Andere pflanzliche Mittel bei Säure bedingten Erkrankungen"	NA	4
"A03"	"MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN"	"Drugs for functional gastrointestinal disorders"	2
"A03A"	"MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN"	"Drugs for functional bowel disorders"	3
"A03AA"	"Synthetische Anticholinergika, Ester mit tertiären Aminogruppen"	"Synthetic anticholinergics, esters with tertiary amino group"	4
"A03AB"	"Synthetische Anticholinergika, quartäre Ammonium-Verbindungen"	"Synthetic anticholinergics, quaternary ammonium compounds"	4
"A03AC"	"Synthetische Spasmolytika, Amide mit tertiären Aminen"	"Synthetic antispasmodics, amides with tertiary amines"	4
"A03AD"	"Papaverin und Derivate"	"Papaverine and derivatives"	4
"A03AE"	"Serotonin-Rezeptor-Antagonisten"	"Serotonin receptor antagonists"	4
"A03AH"	"Andere homöopathische und anthroposophische Mittel bei funktionellen gastrointestinalen Störungen"	NA	4
"A03AP"	"Andere pflanzliche Mittel bei funktionellen gastrointestinalen Störungen"	NA	4
"A03AX"	"Andere Mittel bei funktionellen gastrointestinalen Störungen"	"Other drugs for functional gastrointestinal disorders"	4
"A03B"	"BELLADONNA UND DERIVATE, REIN"	"Belladonna and derivatives, plain"	3
"A03BA"	"Belladonna-Alkaloide, tertiäre Amine"	"Belladonna alkaloids, tertiary amines"	4
"A03BB"	"Belladonna-Alkaloide, halbsynthetisch, quartäre Ammonium-Verbindungen"	"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"	4
"A03C"	"SPASMOLYTIKA IN KOMBINATION MIT PSYCHOLEPTIKA"	"Antispasmodics in combination with psycholeptics"	3
"A03CA"	"Synthetische Anticholinergika in Kombination mit Psycholeptika"	"Synthetic anticholinergic agents in combination with psycholeptics"	4
"A03CB"	"Belladonna und Derivate in Kombination mit Psycholeptika"	"Belladonna and derivatives in combination with psycholeptics"	4
"A03CC"	"Andere Spasmolytika in Kombination mit Psycholeptika"	"Other antispasmodics in combination with psycholeptics"	4
"A03D"	"SPASMOLYTIKA IN KOMBINATION MIT ANALGETIKA"	"Antispasmodics in combination with analgesics"	3
"A03DA"	"Synthetische Anticholinergika in Kombination mit Analgetika"	"Synthetic anticholinergic agents in combination with analgesics"	4
"A03DB"	"Belladonna und Derivate in Kombination mit Analgetika"	"Belladonna and derivatives in combination with analgesics"	4
"A03DC"	"Andere Spasmolytika in Kombination mit Analgetika"	"Other antispasmodics in combination with analgesics"	4
"A03E"	"SPASMOLYTIKA UND ANTICHOLINERGIKA IN KOMBINATION MIT ANDEREN MITTELN"	"Antispasmodics and anticholinergics in combination with other drugs"	3
"A03EA"	"Spasmolytika, Psycholeptika und Analgetika in Kombination"	"Antispasmodics, psycholeptics and analgesics in combination"	4
"A03ED"	"Spasmolytika in Kombination mit anderen Mitteln"	"Antispasmodics in combination with other drugs"	4
"A03F"	"PROKINETIKA"	"Propulsives"	3
"A03FA"	"Prokinetika"	"Propulsives"	4
"A03FP"	"Pflanzliche Prokinetika"	NA	4
"A03H"	"ANDERE HOMÖOPATHISCHE UND ANTHROPOSOPHISCHE ZUBEREITUNGEN"	NA	3
"A03HH"	"Homöopathische und anthroposophische Spasmolytika"	NA	4
"A03P"	"ANDERE PFLANZLICHE ZUBEREITUNGEN"	NA	3
"A03PP"	"Pflanzliche Spasmolytika"	NA	4
"A04"	"ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"	"Antiemetics and antinauseants"	2
"A04A"	"ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"	"Antiemetics and antinauseants"	3
"A04AA"	"Serotonin-5HT3-Antagonisten"	"Serotonin (5-HT3) antagonists"	4
"A04AB"	"Antihistaminika"	NA	4
"A04AD"	"Andere Antiemetika"	"Other antiemetics"	4
"A04AH"	"Homöopathische und anthroposophische Antiemetika"	NA	4
"A04AP"	"Pflanzliche Antiemetika"	NA	4
"A05"	"GALLEN- UND LEBERTHERAPIE"	"Bile and liver therapy"	2
"A05A"	"GALLENTHERAPIE"	"Bile therapy"	3
"A05AA"	"Gallensäure-haltige Zubereitungen"	"Bile acid preparations"	4
"A05AB"	"Zubereitungen zur Gallentherapie"	"Preparations for biliary tract therapy"	4
"A05AC"	"Gallentherapeutika in Kombination"	"Drugs for bile therapy and lipotropics in combination"	4
"A05AH"	"Homöopathische und anthroposophische Mittel zur Gallentherapie"	NA	4
"A05AP"	"Pflanzliche Mittel zur Gallentherapie"	NA	4
"A05AX"	"Andere Mittel zur Gallentherapie"	"Other drugs for bile therapy"	4
"A05B"	"LEBERTHERAPIE, LIPOTROPE SUBSTANZEN"	"Liver therapy, lipotropics"	3
"A05BA"	"Lebertherapie"	"Liver therapy"	4
"A05BH"	"Homöopathische und anthroposophische Mittel zur Lebertherapie"	NA	4
"A05BP"	"Pflanzliche Mittel zur Lebertherapie"	NA	4
"A05C"	"MITTEL ZUR GALLENTHERAPIE UND LIPOTROPE SUBSTANZEN IN KOMBINATION"	"Drugs for bile therapy and lipotropics in combination"	3
"A06"	"MITTEL GEGEN OBSTIPATION"	"Drugs for constipation"	2
"A06A"	"MITTEL GEGEN OBSTIPATION"	"Drugs for constipation"	3
"A06AA"	"Gleitmittel, Emollientia"	"Softeners, emollients"	4
"A06AB"	"Kontaktlaxanzien"	"Contact laxatives"	4
"A06AC"	"Quellmittel"	"Bulk-forming laxatives"	4
"A06AD"	"Osmotisch wirkende Laxanzien"	"Osmotically acting laxatives"	4
"A06AG"	"Klysmen"	"Enemas drugs"	4
"A06AH"	"Periphere Opioidrezeptor-Antagonisten"	"Peripheral opioid receptor antagonists"	4
"A06AX"	"Andere Mittel gegen Obstipation"	"Other drugs for constipation"	4
"A07"	"ANTIDIARRHOIKA UND INTESTINALE ANTIPHLOGISTIKA/ANTIINFEKTIVA"	"Antidiarrheals, intestinal anti-inflammatory/anti-infective agents"	2
"A07A"	"INTESTINALE ANTIINFEKTIVA"	"Intestinal anti-infectives"	3
"A07AA"	"Antibiotika"	"Antibiotics"	4
"A07AB"	"Sulfonamide"	"Sulfonamides"	4
"A07AC"	"Imidazol-Derivate"	"Imidazole derivatives"	4
"A07AX"	"Andere intestinale Antiinfektiva"	"Other intestinal anti-infectives"	4
"A07B"	"INTESTINALE ADSORBENZIEN"	"Intestinal adsorbents"	3
"A07BA"	"Kohle-haltige Zubereitungen"	"Charcoal preparations"	4
"A07BB"	"Bismut-haltige Zubereitungen"	"Bismuth preparations"	4
"A07BC"	"Andere intestinale Adsorbenzien"	"Other intestinal adsorbents"	4
"A07BP"	"Pflanzliche Adsorbenzien"	NA	4
"A07C"	"ELEKTROLYTE MIT KOHLENHYDRATEN"	"Electrolytes with carbohydrates"	3
"A07CA"	"Elektrolyte zur oralen Rehydrierung"	"Oral rehydration salt formulations"	4
"A07D"	"MOTILITÄTSHEMMER"	"Antipropulsives"	3
"A07DA"	"Motilitätshemmer"	"Antipropulsives"	4
"A07E"	"INTESTINALE ANTIPHLOGISTIKA"	"Intestinal anti-inflammatory agents"	3
"A07EA"	"Corticosteroide mit lokaler Wirkung"	"Corticosteroids acting locally"	4
"A07EB"	"Antiallergika, exkl. Corticosteroide"	"Antiallergic agents, excluding corticosteroids"	4
"A07EC"	"Aminosalicylsäure und ähnliche Mittel"	"Aminosalicylic acid and similar agents"	4
"A07ED"	"Andere entzündungshemmende Mittel"	NA	4
"A07EF"	"Mikrobielle Antiphlogistika"	NA	4
"A07F"	"MIKROBIELLE ANTIDIARRHOIKA"	NA	3
"A07FA"	"Mikrobielle Antidiarrhoika"	"Antidiarrheal micro-organisms"	4
"A07X"	"ANDERE ANTIDIARRHOIKA"	"Other antidiarrheals"	3
"A07XA"	"Andere Antidiarrhoika"	"Other antidiarrheals"	4
"A07XH"	"Homöopathische und anthroposophische Antidiarrhoika"	NA	4
"A07XP"	"Pflanzliche  Antidiarrhoika"	NA	4
"A08"	"ANTIADIPOSITA, EXKL. DIÄTETIKA"	"Antiobesity preparations, excluding diet products"	2
"A08A"	"ANTIADIPOSITA, EXKL. DIÄTETIKA"	"Anti obesity drugs list, excluding diet products"	3
"A08AA"	"Zentral wirkende Antiadiposita"	"Centrally acting anti obesity drugs"	4
"A08AB"	"Peripher wirkende Antiadiposita"	"Peripherally acting anti obesity drugs"	4
"A08AH"	"Homöopathische und anthroposophische Antiadiposita"	NA	4
"A08AX"	"Andere Antiadiposita"	"Other anti obesity drugs"	4
"A09"	"DIGESTIVA, INKL. ENZYME"	"Digestives, including enzymes"	2
"A09A"	"DIGESTIVA, INKL. ENZYME"	"Digestives, including enzymes"	3
"A09AA"	"Enzym-haltige Zubereitungen"	"Enzyme preparations"	4
"A09AB"	"Säure-haltige Zubereitungen"	"Acid preparations"	4
"A09AC"	"Enzym- und Säure-haltige Zubereitungen, Kombinationen"	"Enzyme and acid preparations, combinations"	4
"A09AH"	"Homöopathische und anthroposophische Digestiva"	NA	4
"A09AP"	"Pflanzliche Digestiva"	NA	4
"A09AX"	"Andere Digestiva"	NA	4
"A10"	"ANTIDIABETIKA"	"Drugs used in diabetes"	2
"A10A"	"INSULINE UND ANALOGA"	"Insulins and analogues"	3
"A10AB"	"Insuline und Analoga zur Injektion, schnell wirkend"	"Insulins and analogues for injection, fast-acting"	4
"A10AC"	"Insuline und Analoga zur Injektion, intermediär wirkend"	"Insulins and analogues for injection, intermediate-acting"	4
"A10AD"	"Insuline und Analoga zur Injektion, intermediär oder lang wirkend kombiniert mit schnell wirkend"	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"	4
"A10AE"	"Insuline und Analoga zur Injektion, lang wirkend"	"Insulins and analogues for injection, long-acting"	4
"A10AF"	"Insuline und Analoga zur Inhalation"	"Insulins and analogues for inhalation"	4
"A10B"	"ANTIDIABETIKA, EXKL. INSULINE"	"Blood glucose lowering drugs, excluding insulins"	3
"A10BA"	"Biguanide"	"Biguanides"	4
"A10BB"	"Sulfonylharnstoffe"	"Sulfonylureas"	4
"A10BC"	"Sulfonamide (heterozyklisch)"	"Sulfonamides (heterocyclic)"	4
"A10BD"	"Kombinationen mit oralen Antidiabetika"	"Combinations of oral blood glucose lowering drugs"	4
"A10BF"	"Alpha-Glukosidasehemmer"	"Alpha glucosidase inhibitors"	4
"A10BG"	"Thiazolidindione"	"Thiazolidinediones"	4
"A10BH"	"Dipeptidyl-Peptidase-4-Inhibitoren"	"Dipeptidyl peptidase 4 (DPP-4) inhibitors"	4
"A10BX"	"Andere Antidiabetika, exkl. Insuline"	"Other blood glucose lowering drugs, excluding insulins"	4
"A10X"	"ANDERE ANTIDIABETIKA"	"Other drugs used in diabetes"	3
"A10XA"	"Aldosereduktasehemmer"	"Aldose reductase inhibitors"	4
"A10XH"	"Homöopathische und anthroposophische Antidiabetika"	NA	4
"A10XP"	"Pflanzliche Antidiabetika"	NA	4
"A11"	"VITAMINE"	"Vitamins"	2
"A11A"	"MULTIVITAMINE, KOMBINATIONEN"	"Multivitamins, combinations"	3
"A11AA"	"Multivitamine mit Mineralstoffen"	"Multivitamins with minerals"	4
"A11AB"	"Multivitamine, andere Kombinationen"	"Multivitamins, other combinations"	4
"A11B"	"MULTIVITAMINE, REIN"	"Multivitamins, plain"	3
"A11BA"	"Multivitamine, rein"	"Multivitamins, plain"	4
"A11C"	"VITAMIN A UND D, INKL. DEREN KOMBINATIONEN"	"Vitamin A and D, including combinations of the two"	3
"A11CA"	"Vitamin A, rein"	"Vitamin A, plain"	4
"A11CB"	"Vitamin A und D in Kombination"	"Vitamin A and D in combination"	4
"A11CC"	"Vitamin D und Analoga"	"Vitamin D and analogues"	4
"A11D"	"VITAMIN B1, REIN UND IN KOMBINATION MIT VITAMIN B6 UND VITAMIN B12"	"Vitamin B1, plain and in combination with vitamin B6 and B12"	3
"A11DA"	"Vitamin B1, rein"	"Vitamin B1, plain"	4
"A11DB"	"Vitamin B1 in Kombination mit Vitamin B6 und/oder Vitamin B12"	"Vitamin B1 in combination with vitamin B6 and/or vitamin B12"	4
"A11E"	"VITAMIN-B-KOMPLEX, INKL. KOMBINATIONEN"	"Vitamin B-complex, including combinations"	3
"A11EA"	"Vitamin-B-Komplex, rein"	"Vitamin B-complex, plain"	4
"A11EB"	"Vitamin-B-Komplex mit Vitamin C"	"Vitamin B-complex with vitamin C"	4
"A11EC"	"Vitamin-B-Komplex mit Mineralstoffen"	"Vitamin B-complex with minerals"	4
"A11ED"	"Vitamin-B-Komplex mit anabolen Steroiden"	"Vitamin B-complex with anabolic steroids"	4
"A11EX"	"Vitamin-B-Komplex, andere Kombinationen"	"Vitamin B-complex, other combinations"	4
"A11G"	"ASCORBINSÄURE (VITAMIN C), INKL. KOMBINATIONEN"	"Ascorbic acid (vitamin C), including combinations"	3
"A11GA"	"Ascorbinsäure (Vitamin C), rein"	"Ascorbic acid (vitamin C), plain"	4
"A11GB"	"Ascorbinsäure (Vitamin C), Kombinationen"	"Ascorbic acid (vitamin C), combinations"	4
"A11H"	"ANDERE VITAMINPRÄPARATE, REIN"	"Other plain vitamin preparations"	3
"A11HA"	"Andere Vitaminpräparate, rein"	"Other plain vitamin preparations"	4
"A11J"	"ANDERE VITAMINPRÄPARATE, KOMBINATIONEN"	"Other vitamin products, combinations"	3
"A11JA"	"Kombinationen von Vitaminen"	"Combinations of vitamins"	4
"A11JB"	"Vitamine mit Mineralstoffen"	"Vitamins with minerals"	4
"A11JC"	"Vitamine, andere Kombinationen"	"Vitamins, other combinations"	4
"A12"	"MINERALSTOFFE"	"Mineral supplements"	2
"A12A"	"CALCIUM"	"Calcium"	3
"A12AA"	"Calcium"	"Calcium"	4
"A12AH"	"Homöopathische und anthroposophische Calcium-haltige Zubereitungen"	NA	4
"A12AX"	"Calcium, Kombinationen mit Vitamin D und/oder anderen Mitteln"	"Calcium, combinations with vitamin D and/or other drugs"	4
"A12B"	"KALIUM"	"Potassium"	3
"A12BA"	"Kalium"	"Potassium"	4
"A12C"	"ANDERE MINERALSTOFFE"	"Other mineral supplements"	3
"A12CA"	"Natrium"	"Sodium"	4
"A12CB"	"Zink"	"Zinc"	4
"A12CC"	"Magnesium"	"Magnesium"	4
"A12CD"	"Fluorid"	"Fluoride"	4
"A12CE"	"Selen"	"Selenium"	4
"A12CH"	"Andere homöopathische und anthroposophische  Mineralstoff-haltige Zubereitungen"	NA	4
"A12CX"	"Andere Mineralstoff-haltige Zubereitungen"	"Other mineral products"	4
"A13"	"TONIKA"	"Tonics"	2
"A13A"	"TONIKA"	"Tonics"	3
"A13AA"	"Tonika"	"Tonics"	4
"A13AH"	"Homöopathische und anthroposophische Tonika"	NA	4
"A13AP"	"Pflanzliche Tonika"	NA	4
"A14"	"ANABOLIKA ZUR SYSTEMISCHEN ANWENDUNG"	"Anabolic agents for systemic use"	2
"A14A"	"ANABOLE STEROIDE"	"Anabolic steroids"	3
"A14AA"	"Androstan-Derivate"	"Androstan derivatives"	4
"A14AB"	"Estren-Derivate"	"Estren derivatives"	4
"A14B"	"ANDERE ANABOLIKA"	"Other anabolic agents"	3
"A15"	"APPETIT STIMULIERENDE MITTEL"	"Appetite stimulants"	2
"A15A"	"APPETIT STIMULIERENDE MITTEL"	"Appetite stimulants"	3
"A15AA"	"Appetit stimulierende Mittel"	"Appetite stimulants"	4
"A16"	"ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL"	"Other alimentary tract and metabolism products"	2
"A16A"	"ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL"	"Other alimentary tract and metabolism products"	3
"A16AA"	"Aminosäuren und Derivate"	"Amino acids and derivatives"	4
"A16AB"	"Enzyme"	"Enzymes"	4
"A16AX"	"Sonstige Mittel für das alimentäre System und den Stoffwechsel"	"Various alimentary tract and metabolism products"	4
"B"	"BLUT UND BLUTBILDENDE ORGANE"	"Blood and blood forming organs"	1
"B01"	"ANTITHROMBOTISCHE MITTEL"	"Antithrombotic agents"	2
"B01A"	"ANTITHROMBOTISCHE MITTEL"	"Antithrombotic agents"	3
"B01AA"	"Vitamin-K-Antagonisten"	"Vitamin K antagonists"	4
"B01AB"	"Heparingruppe"	"Heparin group"	4
"B01AC"	"Thrombozytenaggregationshemmer, exkl. Heparin"	"Platelet aggregation inhibitors excluding heparin"	4
"B01AD"	"Enzyme"	"Enzymes"	4
"B01AE"	"Direkte Thrombininhibitoren"	"Direct thrombin inhibitors"	4
"B01AF"	"Direkte Faktor-Xa-Inhibitoren"	"Direct factor Xa inhibitors"	4
"B01AX"	"Andere antithrombotische Mittel"	"Other antithrombotic agents"	4
"B01AY"	"Enzyme zu lokalen Anwendung"	NA	4
"B02"	"ANTIHÄMORRHAGIKA"	"Antihemorrhagic drugs"	2
"B02A"	"ANTIFIBRINOLYTIKA"	"Antifibrinolytics"	3
"B02AA"	"Aminosäuren"	"Amino acids"	4
"B02AB"	"Proteinasehemmer"	"Proteinase inhibitors"	4
"B02B"	"VITAMIN K UND ANDERE HÄMOSTATIKA"	"Vitamin K and other hemostatics"	3
"B02BA"	"Vitamin K"	"Vitamin K"	4
"B02BB"	"Fibrinogene"	"Fibrinogen"	4
"B02BC"	"Lokale Hämostatika"	"Local hemostatics"	4
"B02BD"	"Blutgerinnungsfaktoren"	"Blood coagulation factors"	4
"B02BP"	"Pflanzliche Antihämorrhagika"	NA	4
"B02BX"	"Andere systemische Hämostatika"	"Other systemic hemostatics"	4
"B03"	"ANTIANÄMIKA"	"Antianemic drugs"	2
"B03A"	"EISEN-HALTIGE ZUBEREITUNGEN"	"Iron preparations"	3
"B03AA"	"Eisen zweiwertig, orale Zubereitungen"	"Iron bivalent, oral preparations"	4
"B03AB"	"Eisen dreiwertig, orale Zubereitungen"	"Iron trivalent, oral preparations"	4
"B03AC"	"Eisen, parenterale Zubereitungen"	"Iron, parenteral preparations"	4
"B03AD"	"Eisen in Kombination mit Folsäure"	"Iron in combination with folic acid"	4
"B03AE"	"Eisen in anderen Kombinationen"	"Iron in other combinations"	4
"B03B"	"VITAMIN B12 UND FOLSÄURE"	"Vitamin B12 and folic acid"	3
"B03BA"	"Vitamin B12 (Cyanocobalamin und Analoga)"	"Vitamin B12 (cyanocobalamin and analogues)"	4
"B03BB"	"Folsäure und Derivate"	"Folic acid and derivatives"	4
"B03X"	"ANDERE ANTIANÄMIKA"	"Other antianemic preparations"	3
"B03XA"	"Andere Antianämika"	"Other antianemic preparations"	4
"B03XH"	"Homöopathische und anthroposophische Antianämika"	NA	4
"B05"	"BLUTERSATZMITTEL UND PERFUSIONSLÖSUNGEN"	"Blood substitutes and perfusion solutions"	2
"B05A"	"BLUT UND VERWANDTE PRODUKTE"	"Blood and related products"	3
"B05AA"	"Blutersatzmittel und Plasmaproteinfraktionen"	"Blood substitutes and plasma protein fractions"	4
"B05AX"	"Andere Blutprodukte"	"Other blood products"	4
"B05B"	"I.V.-LÖSUNGEN"	"I.V. solutions"	3
"B05BA"	"Lösungen zur parenteralen Ernährung"	"Solutions for parenteral nutrition"	4
"B05BB"	"Lösungen mit Wirkung auf den Elektrolythaushalt"	"Solutions affecting the electrolyte balance"	4
"B05BC"	"Osmodiuretika"	"Solutions producing osmotic diuresis"	4
"B05C"	"SPÜLLÖSUNGEN"	"Irrigating solutions"	3
"B05CA"	"Antiinfektiva"	"Antiinfectives"	4
"B05CB"	"Salzlösungen"	"Salt solutions"	4
"B05CX"	"Andere Spüllösungen"	"Other irrigating solutions"	4
"B05D"	"LÖSUNGEN ZUR PERITONEALDIALYSE"	"Peritoneal dialytics"	3
"B05DA"	"Isotone Lösungen"	"Isotonic solutions"	4
"B05DB"	"Hypertone Lösungen"	"Hypertonic solutions"	4
"B05X"	"ADDITIVA ZU I.V.-LÖSUNGEN"	"I.V. solution additives"	3
"B05XA"	"Elektrolytlösungen"	"Electrolyte solutions"	4
"B05XB"	"Aminosäuren"	"Amino acids"	4
"B05XC"	"Vitamine"	"Vitamins"	4
"B05XX"	"Andere Additiva zu i.v.-Lösungen"	"Other i.v. solution additives"	4
"B05Z"	"HÄMODIALYSEKONZENTRATE UND HÄMOFILTRATE"	"Hemodialytics and hemofiltrates"	3
"B05ZA"	"Hämodialysekonzentrate"	"Hemodialytics, concentrates"	4
"B05ZB"	"Hämofiltrate"	"Hemofiltrates"	4
"B06"	"ANDERE HÄMATOLOGIKA"	"Other hematologic drugs"	2
"B06A"	"ANDERE HÄMATOLOGIKA"	"Other hematologic drugs"	3
"B06AA"	"Enzyme"	"Enzymes"	4
"B06AB"	"Andere Hämprodukte"	"Other hematological products"	4
"B06AC"	"Mittel zur Behandlung des Hereditären Angioödems"	"Drugs used in hereditary angioedema"	4
"C"	"KARDIOVASKULÄRES SYSTEM"	"Cardiovascular system"	1
"C01"	"HERZTHERAPIE"	"Cardiac therapy"	2
"C01A"	"HERZGLYKOSIDE"	"Cardiac glycosides list"	3
"C01AA"	"Digitalisglykoside"	"Digitalis glycosides"	4
"C01AB"	"Scillaglykoside"	"Scilla glycosides"	4
"C01AC"	"Strophantusglykoside"	"Strophantus glycosides"	4
"C01AH"	"Homöopathische und anthroposophische Zubereitungen mit Herzglykosiden"	NA	4
"C01AP"	"Andere pflanzliche Zubereitungen mit Herzglykosiden"	NA	4
"C01AX"	"Andere Herzglykoside"	"Other cardiac glycosides"	4
"C01B"	"ANTIARRHYTHMIKA, KLASSE I UND III"	"Class 1 and 3 antiarrhythmic drugs"	3
"C01BA"	"Antiarrhythmika, Klasse Ia"	"Class 1a antiarrhythmic drugs"	4
"C01BB"	"Antiarrhythmika, Klasse Ib"	"Class 1b antiarrhythmic drugs"	4
"C01BC"	"Antiarrhythmika, Klasse Ic"	"Class 1c antiarrhythmic drugs"	4
"C01BD"	"Antiarrhythmika, Klasse III"	"Class 3 antiarrhythmic drugs"	4
"C01BG"	"Andere Antiarrhythmika, Klasse I und III"	"Class 1 and 3 antiarrhythmic drugs"	4
"C01C"	"KARDIOSTIMULANZIEN, EXKL. HERZGLYKOSIDE"	"Cardiac stimulants excluding cardiac glycosides"	3
"C01CA"	"Adrenerge und dopaminerge Mittel"	"Adrenergic and dopaminergic agents"	4
"C01CB"	"Ephedrin-Derivate"	NA	4
"C01CE"	"Phosphodiesterasehemmer"	"Phosphodiesterase inhibitors drugs"	4
"C01CH"	"Homöopathische und anthroposophische Kardiostimulanzien"	NA	4
"C01CX"	"Andere Kardiostimulanzien"	"Other cardiac stimulants drugs"	4
"C01D"	"BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN"	"Vasodilators used in cardiac diseases"	3
"C01DA"	"Organische Nitrate"	"Organic nitrates"	4
"C01DB"	"Chinolon-Vasodilatatoren"	"Quinolone vasodilators"	4
"C01DX"	"Andere bei Herzerkrankungen eingesetzte Vasodilatatoren"	"Other vasodilators used in cardiac diseases"	4
"C01E"	"ANDERE HERZMITTEL"	"Other cardiac preparations"	3
"C01EA"	"Prostaglandine"	"Prostaglandins"	4
"C01EB"	"Andere Herzmittel"	"Other cardiac preparations"	4
"C01EH"	"Andere homöopathische und anthroposophische Herzmittel"	NA	4
"C01EP"	"Andere pflanzliche Herzmittel"	NA	4
"C01EX"	"Andere Herzmittel, Kombinationen"	NA	4
"C02"	"ANTIHYPERTENSIVA"	"Antihypertensive drugs"	2
"C02A"	"ANTIADRENERGE MITTEL, ZENTRAL WIRKEND"	"Antiadrenergic agents, centrally acting"	3
"C02AA"	"Rauwolfia-Alkaloide"	"Rauvolfia alkaloids"	4
"C02AB"	"Methyldopa"	"Methyldopa"	4
"C02AC"	"Imidazolin-Rezeptoragonisten"	"Imidazoline receptor agonists"	4
"C02AP"	"Pflanzliche antiadrenerge Mittel, zentral wirkend"	NA	4
"C02B"	"ANTIADRENERGE MITTEL, GANGLIENBLOCKER"	"Antiadrenergic agents, ganglion-blocking"	3
"C02BA"	"Sulfonium-Derivate"	"Sulfonium derivatives"	4
"C02BB"	"Sekundäre und tertiäre Amine"	"Secondary and tertiary amines"	4
"C02BC"	"Bisquartäre Ammonium-Verbindungen"	"Bisquaternary ammonium compounds"	4
"C02C"	"ANTIADRENERGE MITTEL, PERIPHER WIRKEND"	"Antiadrenergic agents, peripherally acting"	3
"C02CA"	"Alpha-Adrenozeptor-Antagonisten"	"Alpha-adrenoreceptor antagonists"	4
"C02CC"	"Guanidin-Derivate"	"Guanidine derivatives"	4
"C02D"	"MITTEL MIT WIRKUNG AUF DIE ARTERIELLE GEFÄSSMUSKULATUR"	"Arteriolar smooth muscle, agents acting on"	3
"C02DA"	"Thiazid-Derivate"	"Thiazide derivatives"	4
"C02DB"	"Hydrazinophthalazin-Derivate"	"Hydrazinophthalazine derivatives"	4
"C02DC"	"Pyrimidin-Derivate"	"Pyrimidine derivatives"	4
"C02DD"	"Nitroferrocyanid-Derivate"	"Nitroferricyanide derivatives"	4
"C02DG"	"Guanidin-Derivate"	"Guanidine derivatives"	4
