"key"	"name_de"
"A11C"	"VITAMIN A UND D, INKL. DEREN KOMBINATIONEN"
"A11CA"	"Vitamin A, rein"
"A11CB"	"Vitamin A und D in Kombination"
"A11CC"	"Vitamin D und Analoga"
"A11D"	"VITAMIN B1, REIN UND IN KOMBINATION MIT VITAMIN B6 UND VITAMIN B12"
"A11DA"	"Vitamin B1, rein"
"A11DB"	"Vitamin B1 in Kombination mit Vitamin B6 und/oder Vitamin B12"
"A11E"	"VITAMIN-B-KOMPLEX, INKL. KOMBINATIONEN"
"A11EA"	"Vitamin-B-Komplex, rein"
"A11EB"	"Vitamin-B-Komplex mit Vitamin C"
"A11EC"	"Vitamin-B-Komplex mit Mineralstoffen"
"A11ED"	"Vitamin-B-Komplex mit anabolen Steroiden"
"A11EX"	"Vitamin-B-Komplex, andere Kombinationen"
"A11G"	"ASCORBINSÄURE (VITAMIN C), INKL. KOMBINATIONEN"
"A11GA"	"Ascorbinsäure (Vitamin C), rein"
"A11GB"	"Ascorbinsäure (Vitamin C), Kombinationen"
"A11H"	"ANDERE VITAMINPRÄPARATE, REIN"
"A11HA"	"Andere Vitaminpräparate, rein"
"A11J"	"ANDERE VITAMINPRÄPARATE, KOMBINATIONEN"
"A11JA"	"Kombinationen von Vitaminen"
"A11JB"	"Vitamine mit Mineralstoffen"
"A11JC"	"Vitamine, andere Kombinationen"
"A12"	"MINERALSTOFFE"
"A12A"	"CALCIUM"
"A12AA"	"Calcium"
"A12AH"	"Homöopathische und anthroposophische Calcium-haltige Zubereitungen"
"A12AX"	"Calcium, Kombinationen mit Vitamin D und/oder anderen Mitteln"
"A12B"	"KALIUM"
"A12BA"	"Kalium"
"A12C"	"ANDERE MINERALSTOFFE"
"A12CA"	"Natrium"
"A12CB"	"Zink"
"A12CC"	"Magnesium"
"A12CD"	"Fluorid"
"A12CE"	"Selen"
"A12CH"	"Andere homöopathische und anthroposophische  Mineralstoff-haltige Zubereitungen"
"A12CX"	"Andere Mineralstoff-haltige Zubereitungen"
"A13"	"TONIKA"
"A13A"	"TONIKA"
"A13AA"	"Tonika"
"A13AH"	"Homöopathische und anthroposophische Tonika"
"A13AP"	"Pflanzliche Tonika"
"A14"	"ANABOLIKA ZUR SYSTEMISCHEN ANWENDUNG"
"A14A"	"ANABOLE STEROIDE"
"A14AA"	"Androstan-Derivate"
"A14AB"	"Estren-Derivate"
"A14B"	"ANDERE ANABOLIKA"
"A15"	"APPETIT STIMULIERENDE MITTEL"
"A15A"	"APPETIT STIMULIERENDE MITTEL"
"A15AA"	"Appetit stimulierende Mittel"
"A16"	"ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL"
"A16A"	"ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL"
"A16AA"	"Aminosäuren und Derivate"
"A16AB"	"Enzyme"
"A16AX"	"Sonstige Mittel für das alimentäre System und den Stoffwechsel"
"B"	"BLUT UND BLUTBILDENDE ORGANE"
"B01"	"ANTITHROMBOTISCHE MITTEL"
"B01A"	"ANTITHROMBOTISCHE MITTEL"
"B01AA"	"Vitamin-K-Antagonisten"
"B01AB"	"Heparingruppe"
"B01AC"	"Thrombozytenaggregationshemmer, exkl. Heparin"
"B01AD"	"Enzyme"
"B01AE"	"Direkte Thrombininhibitoren"
"B01AF"	"Direkte Faktor-Xa-Inhibitoren"
"B01AX"	"Andere antithrombotische Mittel"
"B01AY"	"Enzyme zu lokalen Anwendung"
"B02"	"ANTIHÄMORRHAGIKA"
"B02A"	"ANTIFIBRINOLYTIKA"
"B02AA"	"Aminosäuren"
"B02AB"	"Proteinasehemmer"
"B02B"	"VITAMIN K UND ANDERE HÄMOSTATIKA"
"B02BA"	"Vitamin K"
"B02BB"	"Fibrinogene"
"B02BC"	"Lokale Hämostatika"
"B02BD"	"Blutgerinnungsfaktoren"
"B02BP"	"Pflanzliche Antihämorrhagika"
"B02BX"	"Andere systemische Hämostatika"
"B03"	"ANTIANÄMIKA"
"B03A"	"EISEN-HALTIGE ZUBEREITUNGEN"
"B03AA"	"Eisen zweiwertig, orale Zubereitungen"
"B03AB"	"Eisen dreiwertig, orale Zubereitungen"
"B03AC"	"Eisen, parenterale Zubereitungen"
"B03AD"	"Eisen in Kombination mit Folsäure"
"B03AE"	"Eisen in anderen Kombinationen"
"B03B"	"VITAMIN B12 UND FOLSÄURE"
"B03BA"	"Vitamin B12 (Cyanocobalamin und Analoga)"
"B03BB"	"Folsäure und Derivate"
"B03X"	"ANDERE ANTIANÄMIKA"
"B03XA"	"Andere Antianämika"
"B03XH"	"Homöopathische und anthroposophische Antianämika"
"B05"	"BLUTERSATZMITTEL UND PERFUSIONSLÖSUNGEN"
"B05A"	"BLUT UND VERWANDTE PRODUKTE"
"B05AA"	"Blutersatzmittel und Plasmaproteinfraktionen"
"B05AX"	"Andere Blutprodukte"
"B05B"	"I.V.-LÖSUNGEN"
"B05BA"	"Lösungen zur parenteralen Ernährung"
"B05BB"	"Lösungen mit Wirkung auf den Elektrolythaushalt"
"B05BC"	"Osmodiuretika"
"B05C"	"SPÜLLÖSUNGEN"
"B05CA"	"Antiinfektiva"
"B05CB"	"Salzlösungen"
"B05CX"	"Andere Spüllösungen"
"B05D"	"LÖSUNGEN ZUR PERITONEALDIALYSE"
"B05DA"	"Isotone Lösungen"
"B05DB"	"Hypertone Lösungen"
"B05X"	"ADDITIVA ZU I.V.-LÖSUNGEN"
"B05XA"	"Elektrolytlösungen"
"B05XB"	"Aminosäuren"
"B05XC"	"Vitamine"
"B05XX"	"Andere Additiva zu i.v.-Lösungen"
"B05Z"	"HÄMODIALYSEKONZENTRATE UND HÄMOFILTRATE"
"B05ZA"	"Hämodialysekonzentrate"
"B05ZB"	"Hämofiltrate"
"B06"	"ANDERE HÄMATOLOGIKA"
"B06A"	"ANDERE HÄMATOLOGIKA"
"B06AA"	"Enzyme"
"B06AB"	"Andere Hämprodukte"
"B06AC"	"Mittel zur Behandlung des Hereditären Angioödems"
"C"	"KARDIOVASKULÄRES SYSTEM"
"C01"	"HERZTHERAPIE"
"C01A"	"HERZGLYKOSIDE"
"C01AA"	"Digitalisglykoside"
"C01AB"	"Scillaglykoside"
"C01AC"	"Strophantusglykoside"
"C01AH"	"Homöopathische und anthroposophische Zubereitungen mit Herzglykosiden"
"C01AP"	"Andere pflanzliche Zubereitungen mit Herzglykosiden"
"C01AX"	"Andere Herzglykoside"
"C01B"	"ANTIARRHYTHMIKA, KLASSE I UND III"
"C01BA"	"Antiarrhythmika, Klasse Ia"
"C01BB"	"Antiarrhythmika, Klasse Ib"
"C01BC"	"Antiarrhythmika, Klasse Ic"
"C01BD"	"Antiarrhythmika, Klasse III"
"C01BG"	"Andere Antiarrhythmika, Klasse I und III"
"C01C"	"KARDIOSTIMULANZIEN, EXKL. HERZGLYKOSIDE"
"C01CA"	"Adrenerge und dopaminerge Mittel"
"C01CB"	"Ephedrin-Derivate"
"C01CE"	"Phosphodiesterasehemmer"
"C01CH"	"Homöopathische und anthroposophische Kardiostimulanzien"
"C01CX"	"Andere Kardiostimulanzien"
"C01D"	"BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN"
"C01DA"	"Organische Nitrate"
"C01DB"	"Chinolon-Vasodilatatoren"
"C01DX"	"Andere bei Herzerkrankungen eingesetzte Vasodilatatoren"
"C01E"	"ANDERE HERZMITTEL"
"C01EA"	"Prostaglandine"
"C01EB"	"Andere Herzmittel"
"C01EH"	"Andere homöopathische und anthroposophische Herzmittel"
"C01EP"	"Andere pflanzliche Herzmittel"
"C01EX"	"Andere Herzmittel, Kombinationen"
"C02"	"ANTIHYPERTENSIVA"
"C02A"	"ANTIADRENERGE MITTEL, ZENTRAL WIRKEND"
"C02AA"	"Rauwolfia-Alkaloide"
"C02AB"	"Methyldopa"
"C02AC"	"Imidazolin-Rezeptoragonisten"
"C02AP"	"Pflanzliche antiadrenerge Mittel, zentral wirkend"
"C02B"	"ANTIADRENERGE MITTEL, GANGLIENBLOCKER"
"C02BA"	"Sulfonium-Derivate"
"C02BB"	"Sekundäre und tertiäre Amine"
"C02BC"	"Bisquartäre Ammonium-Verbindungen"
"C02C"	"ANTIADRENERGE MITTEL, PERIPHER WIRKEND"
"C02CA"	"Alpha-Adrenozeptor-Antagonisten"
"C02CC"	"Guanidin-Derivate"
"C02D"	"MITTEL MIT WIRKUNG AUF DIE ARTERIELLE GEFÄSSMUSKULATUR"
"C02DA"	"Thiazid-Derivate"
"C02DB"	"Hydrazinophthalazin-Derivate"
"C02DC"	"Pyrimidin-Derivate"
"C02DD"	"Nitroferrocyanid-Derivate"
"C02DG"	"Guanidin-Derivate"
"C02K"	"ANDERE ANTIHYPERTENSIVA"
"C02KA"	"Alkaloide, exkl. Rauwolfia"
"C02KB"	"Tyrosinhydroxylasehemmer"
"C02KC"	"MAO-Hemmer"
"C02KD"	"Serotonin-Antagonisten"
"C02KH"	"Homöopathische und anthroposophische Antihypertensiva"
"C02KP"	"Pflanzliche Antihypertensiva"
"C02KX"	"Antihypertensiva zur Behandlung der pulmonalen arteriellen Hypertonie"
"C02L"	"ANTIHYPERTENSIVA UND DIURETIKA IN KOMBINATION"
"C02LA"	"Rauwolfia-Alkaloide und Diuretika in Kombination"
"C02LB"	"Methyldopa und Diuretika in Kombination"
"C02LC"	"Imidazolin-Rezeptoragonisten in Kombination mit Diuretika"
"C02LE"	"Alpha-Adrenozeptor-Antagonisten und Diuretika"
"C02LF"	"Guanidin-Derivate und Diuretika"
"C02LG"	"Hydrazinophthalazin-Derivate und Diuretika"
"C02LK"	"Alkaloide, exkl. Rauwolfia, in Kombination mit Diuretika"
"C02LL"	"MAO-Hemmer und Diuretika"
"C02LN"	"Serotonin-Antagonisten und Diuretika"
"C02LX"	"Andere Antihypertensiva und Diuretika"
"C02N"	"KOMBINATIONEN VON ANTIHYPERTENSIVEN WIRKSTOFFEN AUS ATC-GRUPPE C02"
"C03"	"DIURETIKA"
"C03A"	"LOW-CEILING-DIURETIKA, THIAZIDE"
"C03AA"	"Thiazide, rein"
"C03AB"	"Thiazide und Kalium in Kombination"
"C03AH"	"Thiazide, Kombinationen mit Psycholeptika und/oder Analgetika"
"C03AX"	"Thiazide, Kombinationen mit anderen Mitteln"
"C03B"	"LOW-CEILING-DIURETIKA, EXKL. THIAZIDE"
"C03BA"	"Sulfonamide, rein"
"C03BB"	"Sulfonamide und Kalium in Kombination"
"C03BC"	"Quecksilber-haltige Diuretika"
"C03BD"	"Xanthin-Derivate"
"C03BK"	"Sulfonamide, Kombinationen mit anderen Mitteln"
"C03BX"	"Andere Low-ceiling-Diuretika"
"C03C"	"HIGH-CEILING-DIURETIKA"
"C03CA"	"Sulfonamide, rein"
"C03CB"	"Sulfonamide und Kalium in Kombination"
"C03CC"	"Aryloxyessigsäure-Derivate"
"C03CD"	"Pyrazolon-Derivate"
"C03CX"	"Andere High-ceiling-Diuretika"
"C03D"	"KALIUM SPARENDE MITTEL"
"C03DA"	"Aldosteron-Antagonisten"
"C03DB"	"Andere Kalium sparende Mittel"
"C03E"	"DIURETIKA UND KALIUM SPARENDE MITTEL IN KOMBINATION"
"C03EA"	"Low-ceiling-Diuretika und Kalium sparende Mittel"
"C03EB"	"High-ceiling-Diuretika und Kalium sparende Diuretika"
"C03EC"	"Aldosteron-Antagonisten und Low-ceiling-Diuretika"
"C03ED"	"Aldosteron-Antagonisten und High-ceiling-Diuretika"
"C03X"	"ANDERE DIURETIKA"
"C03XA"	"Vasopressin-Antagonisten"
"C03XH"	"Andere homöopathische und anthroposophische Diuretika"
"C03XP"	"Pflanzliche Diuretika"
"C04"	"PERIPHERE VASODILATATOREN"
"C04A"	"PERIPHERE VASODILATATOREN"
"C04AA"	"2-Amino-1-phenylethanol-Derivate"
"C04AB"	"Imidazolin-Derivate"
"C04AC"	"Nicotinsäure und Derivate"
"C04AD"	"Purin-Derivate"
"C04AE"	"Mutterkorn-Alkaloide"
"C04AF"	"Enzyme"
"C04AG"	"Prostaglandine"
"C04AH"	"Homöopathische und anthroposophische Vasodilatatoren"
"C04AX"	"Andere periphere Vasodilatatoren"
"C04B"	"KOMBINATIONEN VON ANDEREN PERIPHEREN VASODILATATOREN"
"C04BA"	"Kombinationen von anderen peripheren Vasodilatatoren"
"C05"	"VASOPROTEKTOREN"
"C05A"	"MITTEL ZUR BEHANDLUNG VON HÄMORRHOIDEN UND ANALFISSUREN ZUR TOPISCHEN ANWENDUNG"
"C05AA"	"Corticosteroide"
"C05AB"	"Antibiotika"
"C05AD"	"Lokalanästhetika"
"C05AE"	"Muskelrelaxanzien"
"C05AF"	"Verödungsmittel"
"C05AH"	"Homöopathische und anthroposophische Hämorrhoidenmittel zur topischen Anwendung"
"C05AP"	"Pflanzliche Hämorrhoidenmittel zur topischen Anwendung"
"C05AX"	"Andere Mittel zur Behandlung von Hämorrhoiden und Analfissuren zur topischen Anwendung"
"C05B"	"ANTIVARIKOSA"
"C05BA"	"Heparine oder Heparinoide zur topischen Anwendung"
"C05BB"	"Sklerosierende Mittel zur lokalen Injektion"
"C05BP"	"Pflanzliche Venenmittel zur topischen Anwendung"
"C05BX"	"Andere sklerosierende Mittel"
"C05BZ"	"Andere Venenmittel zur topischen Anwendung"
"C05C"	"KAPILLARSTABILISIERENDE MITTEL"
"C05CA"	"Bioflavonoide"
"C05CH"	"Homöopathische und anthroposophische kapillarstabilisierende Mittel"
"C05CP"	"Pflanzliche kapillarstabilisierende Mittel"
"C05CX"	"Andere kapillarstabilisierende Mittel"
"C06"	"ANDERE HERZ- UND KREISLAUFMITTEL"
"C06A"	"ANTIHYPOTONIKA"
"C06AA"	"Ergotamin-Derivate"
"C06AH"	"Homöopathische und anthroposophische Antihypotonika"
"C07"	"BETA-ADRENOZEPTOR-ANTAGONISTEN"
"C07A"	"BETA-ADRENOZEPTOR-ANTAGONISTEN"
"C07AA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv"
"C07AB"	"Beta-Adrenozeptor-Antagonisten, selektiv"
"C07AG"	"Alpha- und Beta-Adrenozeptor-Antagonisten"
"C07B"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND THIAZIDE"
"C07BA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und Thiazide"
"C07BB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und Thiazide"
"C07BG"	"Alpha- und Beta-Adrenozeptor-Antagonisten und Thiazide"
"C07C"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND ANDERE DIURETIKA"
"C07CA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und andere Diuretika"
"C07CB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und andere Diuretika"
"C07CG"	"Alpha- und Beta-Adrenozeptor-Antagonisten und andere Diuretika"
"C07D"	"BETA-ADRENOZEPTOR-ANTAGONISTEN, THIAZIDE UND ANDERE DIURETIKA"
"C07DA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, Thiazide und andere Diuretika"
"C07DB"	"Beta-Adrenozeptor-Antagonisten, selektiv, Thiazide und andere Diuretika"
"C07E"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND VASODILATATOREN"
"C07EA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und Vasodilatatoren"
"C07EB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und Vasodilatatoren"
"C07F"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND ANDERE ANTIHYPERTENSIVA"
"C07FA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und andere Antihypertensiva"
"C07FB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und andere Antihypertensiva"
"C07G"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND ANDERE MITTEL"
"C07GA"	"Beta-Adrenozeptor-Antagonisten, nicht selektiv, und andere Mittel"
"C08"	"CALCIUMKANALBLOCKER"
"C08C"	"SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG"
"C08CA"	"Dihydropyridin-Derivate"
"C08CX"	"Andere selektive Calciumkanalblocker mit vorwiegender Gefäßwirkung"
"C08D"	"SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER HERZWIRKUNG"
"C08DA"	"Phenylalkylamin-Derivate"
"C08DB"	"Benzothiazepin-Derivate"
"C08E"	"NICHTSELEKTIVE CALCIUMKANALBLOCKER"
"C08EA"	"Phenylalkylamin-Derivate"
"C08EX"	"Andere nichtselektive Calciumkanalblocker"
"C08G"	"CALCIUMKANALBLOCKER UND DIURETIKA"
"C08GA"	"Calciumkanalblocker und Diuretika"
"C09"	"MITTEL MIT WIRKUNG AUF DAS RENIN-ANGIOTENSIN-SYSTEM"
"C09A"	"ACE-HEMMER, REIN"
"C09AA"	"ACE-Hemmer, rein"
"C09B"	"ACE-HEMMER, KOMBINATIONEN"
"C09BA"	"ACE-Hemmer und Diuretika"
"C09BB"	"ACE-Hemmer und Calciumkanalblocker"
"C09BX"	"ACE-Hemmer, andere Kombinationen"
"C09C"	"ANGIOTENSIN-II-ANTAGONISTEN, REIN"
"C09CA"	"Angiotensin-II-Antagonisten, rein"
"C09D"	"ANGIOTENSIN-II-ANTAGONISTEN, KOMBINATIONEN"
"C09DA"	"Angiotensin-II-Antagonisten und Diuretika"
"C09DB"	"Angiotensin-II-Antagonisten und Calciumkanalblocker"
"C09DX"	"Angiotensin-II-Antagonisten, andere Kombinationen"
"C09X"	"ANDERE MITTEL MIT WIRKUNG AUF DAS RENIN-ANGIOTENSIN-SYSTEM"
"C09XA"	"Renin-Inhibitoren"
"C10"	"MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN"
"C10A"	"MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN"
"C10AA"	"HMG-CoA-Reduktasehemmer"
"C10AB"	"Fibrate"
"C10AC"	"Gallensäure bindende Mittel"
"C10AD"	"Nicotinsäure und Derivate"
"C10AP"	"Pflanzliche Mittel, die den Lipidstoffwechsel beeinflussen"
"C10AX"	"Andere Mittel, die den Lipidstoffwechsel beeinflussen"
"C10B"	"MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, KOMBINATIONEN"
"C10BA"	"HMG-CoA-Reduktasehemmer in Kombination mit anderen Mitteln, die den Lipidstoffwechsel beeinflussen"
"C10BB"	"Fibrate in Kombination mit anderen Mitteln, die den Lipidstoffwechsel beeinflussen"
