"key"	"name_de"	"name_en"
"A03AP"	"Andere pflanzliche Mittel bei funktionellen gastrointestinalen Störungen"	NA
"A03AX"	"Andere Mittel bei funktionellen gastrointestinalen Störungen"	"Other drugs for functional gastrointestinal disorders"
"A03B"	"BELLADONNA UND DERIVATE, REIN"	"Belladonna and derivatives, plain"
"A03BA"	"Belladonna-Alkaloide, tertiäre Amine"	"Belladonna alkaloids, tertiary amines"
"A03BB"	"Belladonna-Alkaloide, halbsynthetisch, quartäre Ammonium-Verbindungen"	"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
"A03C"	"SPASMOLYTIKA IN KOMBINATION MIT PSYCHOLEPTIKA"	"Antispasmodics in combination with psycholeptics"
"A03CA"	"Synthetische Anticholinergika in Kombination mit Psycholeptika"	"Synthetic anticholinergic agents in combination with psycholeptics"
"A03CB"	"Belladonna und Derivate in Kombination mit Psycholeptika"	"Belladonna and derivatives in combination with psycholeptics"
"A03CC"	"Andere Spasmolytika in Kombination mit Psycholeptika"	"Other antispasmodics in combination with psycholeptics"
"A03D"	"SPASMOLYTIKA IN KOMBINATION MIT ANALGETIKA"	"Antispasmodics in combination with analgesics"
"A03DA"	"Synthetische Anticholinergika in Kombination mit Analgetika"	"Synthetic anticholinergic agents in combination with analgesics"
"A03DB"	"Belladonna und Derivate in Kombination mit Analgetika"	"Belladonna and derivatives in combination with analgesics"
"A03DC"	"Andere Spasmolytika in Kombination mit Analgetika"	"Other antispasmodics in combination with analgesics"
"A03E"	"SPASMOLYTIKA UND ANTICHOLINERGIKA IN KOMBINATION MIT ANDEREN MITTELN"	"Antispasmodics and anticholinergics in combination with other drugs"
"A03EA"	"Spasmolytika, Psycholeptika und Analgetika in Kombination"	"Antispasmodics, psycholeptics and analgesics in combination"
"A03ED"	"Spasmolytika in Kombination mit anderen Mitteln"	"Antispasmodics in combination with other drugs"
"A03F"	"PROKINETIKA"	"Propulsives"
"A03FA"	"Prokinetika"	"Propulsives"
"A03FP"	"Pflanzliche Prokinetika"	NA
"A03H"	"ANDERE HOMÖOPATHISCHE UND ANTHROPOSOPHISCHE ZUBEREITUNGEN"	NA
"A03HH"	"Homöopathische und anthroposophische Spasmolytika"	NA
"A03P"	"ANDERE PFLANZLICHE ZUBEREITUNGEN"	NA
"A03PP"	"Pflanzliche Spasmolytika"	NA
"A04"	"ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"	"Antiemetics and antinauseants"
"A04A"	"ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"	"Antiemetics and antinauseants"
"A04AA"	"Serotonin-5HT3-Antagonisten"	"Serotonin (5-HT3) antagonists"
"A04AB"	"Antihistaminika"	NA
"A04AD"	"Andere Antiemetika"	"Other antiemetics"
"A04AH"	"Homöopathische und anthroposophische Antiemetika"	NA
"A04AP"	"Pflanzliche Antiemetika"	NA
"A05"	"GALLEN- UND LEBERTHERAPIE"	"Bile and liver therapy"
"A05A"	"GALLENTHERAPIE"	"Bile therapy"
"A05AA"	"Gallensäure-haltige Zubereitungen"	"Bile acid preparations"
"A05AB"	"Zubereitungen zur Gallentherapie"	"Preparations for biliary tract therapy"
"A05AC"	"Gallentherapeutika in Kombination"	"Drugs for bile therapy and lipotropics in combination"
"A05AH"	"Homöopathische und anthroposophische Mittel zur Gallentherapie"	NA
"A05AP"	"Pflanzliche Mittel zur Gallentherapie"	NA
"A05AX"	"Andere Mittel zur Gallentherapie"	"Other drugs for bile therapy"
"A05B"	"LEBERTHERAPIE, LIPOTROPE SUBSTANZEN"	"Liver therapy, lipotropics"
"A05BA"	"Lebertherapie"	"Liver therapy"
"A05BH"	"Homöopathische und anthroposophische Mittel zur Lebertherapie"	NA
"A05BP"	"Pflanzliche Mittel zur Lebertherapie"	NA
"A05C"	"MITTEL ZUR GALLENTHERAPIE UND LIPOTROPE SUBSTANZEN IN KOMBINATION"	"Drugs for bile therapy and lipotropics in combination"
"A06"	"MITTEL GEGEN OBSTIPATION"	"Drugs for constipation"
"A06A"	"MITTEL GEGEN OBSTIPATION"	"Drugs for constipation"
"A06AA"	"Gleitmittel, Emollientia"	"Softeners, emollients"
"A06AB"	"Kontaktlaxanzien"	"Contact laxatives"
"A06AC"	"Quellmittel"	"Bulk-forming laxatives"
"A06AD"	"Osmotisch wirkende Laxanzien"	"Osmotically acting laxatives"
"A06AG"	"Klysmen"	"Enemas drugs"
"A06AH"	"Periphere Opioidrezeptor-Antagonisten"	"Peripheral opioid receptor antagonists"
"A06AX"	"Andere Mittel gegen Obstipation"	"Other drugs for constipation"
"A07"	"ANTIDIARRHOIKA UND INTESTINALE ANTIPHLOGISTIKA/ANTIINFEKTIVA"	"Antidiarrheals, intestinal anti-inflammatory/anti-infective agents"
"A07A"	"INTESTINALE ANTIINFEKTIVA"	"Intestinal anti-infectives"
"A07AA"	"Antibiotika"	"Antibiotics"
"A07AB"	"Sulfonamide"	"Sulfonamides"
"A07AC"	"Imidazol-Derivate"	"Imidazole derivatives"
"A07AX"	"Andere intestinale Antiinfektiva"	"Other intestinal anti-infectives"
"A07B"	"INTESTINALE ADSORBENZIEN"	"Intestinal adsorbents"
"A07BA"	"Kohle-haltige Zubereitungen"	"Charcoal preparations"
"A07BB"	"Bismut-haltige Zubereitungen"	"Bismuth preparations"
"A07BC"	"Andere intestinale Adsorbenzien"	"Other intestinal adsorbents"
"A07BP"	"Pflanzliche Adsorbenzien"	NA
"A07C"	"ELEKTROLYTE MIT KOHLENHYDRATEN"	"Electrolytes with carbohydrates"
"A07CA"	"Elektrolyte zur oralen Rehydrierung"	"Oral rehydration salt formulations"
"A07D"	"MOTILITÄTSHEMMER"	"Antipropulsives"
"A07DA"	"Motilitätshemmer"	"Antipropulsives"
"A07E"	"INTESTINALE ANTIPHLOGISTIKA"	"Intestinal anti-inflammatory agents"
"A07EA"	"Corticosteroide mit lokaler Wirkung"	"Corticosteroids acting locally"
"A07EB"	"Antiallergika, exkl. Corticosteroide"	"Antiallergic agents, excluding corticosteroids"
"A07EC"	"Aminosalicylsäure und ähnliche Mittel"	"Aminosalicylic acid and similar agents"
"A07ED"	"Andere entzündungshemmende Mittel"	NA
"A07EF"	"Mikrobielle Antiphlogistika"	NA
"A07F"	"MIKROBIELLE ANTIDIARRHOIKA"	NA
"A07FA"	"Mikrobielle Antidiarrhoika"	"Antidiarrheal micro-organisms"
"A07X"	"ANDERE ANTIDIARRHOIKA"	"Other antidiarrheals"
"A07XA"	"Andere Antidiarrhoika"	"Other antidiarrheals"
"A07XH"	"Homöopathische und anthroposophische Antidiarrhoika"	NA
"A07XP"	"Pflanzliche  Antidiarrhoika"	NA
"A08"	"ANTIADIPOSITA, EXKL. DIÄTETIKA"	"Antiobesity preparations, excluding diet products"
"A08A"	"ANTIADIPOSITA, EXKL. DIÄTETIKA"	"Anti obesity drugs list, excluding diet products"
"A08AA"	"Zentral wirkende Antiadiposita"	"Centrally acting anti obesity drugs"
"A08AB"	"Peripher wirkende Antiadiposita"	"Peripherally acting anti obesity drugs"
"A08AH"	"Homöopathische und anthroposophische Antiadiposita"	NA
"A08AX"	"Andere Antiadiposita"	"Other anti obesity drugs"
"A09"	"DIGESTIVA, INKL. ENZYME"	"Digestives, including enzymes"
"A09A"	"DIGESTIVA, INKL. ENZYME"	"Digestives, including enzymes"
"A09AA"	"Enzym-haltige Zubereitungen"	"Enzyme preparations"
"A09AB"	"Säure-haltige Zubereitungen"	"Acid preparations"
"A09AC"	"Enzym- und Säure-haltige Zubereitungen, Kombinationen"	"Enzyme and acid preparations, combinations"
"A09AH"	"Homöopathische und anthroposophische Digestiva"	NA
"A09AP"	"Pflanzliche Digestiva"	NA
"A09AX"	"Andere Digestiva"	NA
"A10"	"ANTIDIABETIKA"	"Drugs used in diabetes"
"A10A"	"INSULINE UND ANALOGA"	"Insulins and analogues"
"A10AB"	"Insuline und Analoga zur Injektion, schnell wirkend"	"Insulins and analogues for injection, fast-acting"
"A10AC"	"Insuline und Analoga zur Injektion, intermediär wirkend"	"Insulins and analogues for injection, intermediate-acting"
"A10AD"	"Insuline und Analoga zur Injektion, intermediär oder lang wirkend kombiniert mit schnell wirkend"	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"A10AE"	"Insuline und Analoga zur Injektion, lang wirkend"	"Insulins and analogues for injection, long-acting"
"A10AF"	"Insuline und Analoga zur Inhalation"	"Insulins and analogues for inhalation"
"A10B"	"ANTIDIABETIKA, EXKL. INSULINE"	"Blood glucose lowering drugs, excluding insulins"
"A10BA"	"Biguanide"	"Biguanides"
"A10BB"	"Sulfonylharnstoffe"	"Sulfonylureas"
"A10BC"	"Sulfonamide (heterozyklisch)"	"Sulfonamides (heterocyclic)"
"A10BD"	"Kombinationen mit oralen Antidiabetika"	"Combinations of oral blood glucose lowering drugs"
"A10BF"	"Alpha-Glukosidasehemmer"	"Alpha glucosidase inhibitors"
"A10BG"	"Thiazolidindione"	"Thiazolidinediones"
"A10BH"	"Dipeptidyl-Peptidase-4-Inhibitoren"	"Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"A10BX"	"Andere Antidiabetika, exkl. Insuline"	"Other blood glucose lowering drugs, excluding insulins"
"A10X"	"ANDERE ANTIDIABETIKA"	"Other drugs used in diabetes"
"A10XA"	"Aldosereduktasehemmer"	"Aldose reductase inhibitors"
"A10XH"	"Homöopathische und anthroposophische Antidiabetika"	NA
"A10XP"	"Pflanzliche Antidiabetika"	NA
"A11"	"VITAMINE"	"Vitamins"
"A11A"	"MULTIVITAMINE, KOMBINATIONEN"	"Multivitamins, combinations"
"A11AA"	"Multivitamine mit Mineralstoffen"	"Multivitamins with minerals"
"A11AB"	"Multivitamine, andere Kombinationen"	"Multivitamins, other combinations"
"A11B"	"MULTIVITAMINE, REIN"	"Multivitamins, plain"
"A11BA"	"Multivitamine, rein"	"Multivitamins, plain"
"A11C"	"VITAMIN A UND D, INKL. DEREN KOMBINATIONEN"	"Vitamin A and D, including combinations of the two"
"A11CA"	"Vitamin A, rein"	"Vitamin A, plain"
"A11CB"	"Vitamin A und D in Kombination"	"Vitamin A and D in combination"
"A11CC"	"Vitamin D und Analoga"	"Vitamin D and analogues"
"A11D"	"VITAMIN B1, REIN UND IN KOMBINATION MIT VITAMIN B6 UND VITAMIN B12"	"Vitamin B1, plain and in combination with vitamin B6 and B12"
"A11DA"	"Vitamin B1, rein"	"Vitamin B1, plain"
"A11DB"	"Vitamin B1 in Kombination mit Vitamin B6 und/oder Vitamin B12"	"Vitamin B1 in combination with vitamin B6 and/or vitamin B12"
"A11E"	"VITAMIN-B-KOMPLEX, INKL. KOMBINATIONEN"	"Vitamin B-complex, including combinations"
"A11EA"	"Vitamin-B-Komplex, rein"	"Vitamin B-complex, plain"
"A11EB"	"Vitamin-B-Komplex mit Vitamin C"	"Vitamin B-complex with vitamin C"
"A11EC"	"Vitamin-B-Komplex mit Mineralstoffen"	"Vitamin B-complex with minerals"
"A11ED"	"Vitamin-B-Komplex mit anabolen Steroiden"	"Vitamin B-complex with anabolic steroids"
"A11EX"	"Vitamin-B-Komplex, andere Kombinationen"	"Vitamin B-complex, other combinations"
"A11G"	"ASCORBINSÄURE (VITAMIN C), INKL. KOMBINATIONEN"	"Ascorbic acid (vitamin C), including combinations"
"A11GA"	"Ascorbinsäure (Vitamin C), rein"	"Ascorbic acid (vitamin C), plain"
"A11GB"	"Ascorbinsäure (Vitamin C), Kombinationen"	"Ascorbic acid (vitamin C), combinations"
"A11H"	"ANDERE VITAMINPRÄPARATE, REIN"	"Other plain vitamin preparations"
"A11HA"	"Andere Vitaminpräparate, rein"	"Other plain vitamin preparations"
"A11J"	"ANDERE VITAMINPRÄPARATE, KOMBINATIONEN"	"Other vitamin products, combinations"
"A11JA"	"Kombinationen von Vitaminen"	"Combinations of vitamins"
"A11JB"	"Vitamine mit Mineralstoffen"	"Vitamins with minerals"
"A11JC"	"Vitamine, andere Kombinationen"	"Vitamins, other combinations"
"A12"	"MINERALSTOFFE"	"Mineral supplements"
"A12A"	"CALCIUM"	"Calcium"
"A12AA"	"Calcium"	"Calcium"
"A12AH"	"Homöopathische und anthroposophische Calcium-haltige Zubereitungen"	NA
"A12AX"	"Calcium, Kombinationen mit Vitamin D und/oder anderen Mitteln"	"Calcium, combinations with vitamin D and/or other drugs"
"A12B"	"KALIUM"	"Potassium"
"A12BA"	"Kalium"	"Potassium"
"A12C"	"ANDERE MINERALSTOFFE"	"Other mineral supplements"
"A12CA"	"Natrium"	"Sodium"
"A12CB"	"Zink"	"Zinc"
"A12CC"	"Magnesium"	"Magnesium"
"A12CD"	"Fluorid"	"Fluoride"
"A12CE"	"Selen"	"Selenium"
"A12CH"	"Andere homöopathische und anthroposophische  Mineralstoff-haltige Zubereitungen"	NA
"A12CX"	"Andere Mineralstoff-haltige Zubereitungen"	"Other mineral products"
"A13"	"TONIKA"	"Tonics"
"A13A"	"TONIKA"	"Tonics"
"A13AA"	"Tonika"	"Tonics"
"A13AH"	"Homöopathische und anthroposophische Tonika"	NA
"A13AP"	"Pflanzliche Tonika"	NA
"A14"	"ANABOLIKA ZUR SYSTEMISCHEN ANWENDUNG"	"Anabolic agents for systemic use"
"A14A"	"ANABOLE STEROIDE"	"Anabolic steroids"
"A14AA"	"Androstan-Derivate"	"Androstan derivatives"
"A14AB"	"Estren-Derivate"	"Estren derivatives"
"A14B"	"ANDERE ANABOLIKA"	"Other anabolic agents"
"A15"	"APPETIT STIMULIERENDE MITTEL"	"Appetite stimulants"
"A15A"	"APPETIT STIMULIERENDE MITTEL"	"Appetite stimulants"
"A15AA"	"Appetit stimulierende Mittel"	"Appetite stimulants"
"A16"	"ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL"	"Other alimentary tract and metabolism products"
"A16A"	"ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL"	"Other alimentary tract and metabolism products"
"A16AA"	"Aminosäuren und Derivate"	"Amino acids and derivatives"
"A16AB"	"Enzyme"	"Enzymes"
"A16AX"	"Sonstige Mittel für das alimentäre System und den Stoffwechsel"	"Various alimentary tract and metabolism products"
"B"	"BLUT UND BLUTBILDENDE ORGANE"	"Blood and blood forming organs"
"B01"	"ANTITHROMBOTISCHE MITTEL"	"Antithrombotic agents"
"B01A"	"ANTITHROMBOTISCHE MITTEL"	"Antithrombotic agents"
"B01AA"	"Vitamin-K-Antagonisten"	"Vitamin K antagonists"
"B01AB"	"Heparingruppe"	"Heparin group"
"B01AC"	"Thrombozytenaggregationshemmer, exkl. Heparin"	"Platelet aggregation inhibitors excluding heparin"
"B01AD"	"Enzyme"	"Enzymes"
"B01AE"	"Direkte Thrombininhibitoren"	"Direct thrombin inhibitors"
"B01AF"	"Direkte Faktor-Xa-Inhibitoren"	"Direct factor Xa inhibitors"
"B01AX"	"Andere antithrombotische Mittel"	"Other antithrombotic agents"
"B01AY"	"Enzyme zu lokalen Anwendung"	NA
"B02"	"ANTIHÄMORRHAGIKA"	"Antihemorrhagic drugs"
"B02A"	"ANTIFIBRINOLYTIKA"	"Antifibrinolytics"
"B02AA"	"Aminosäuren"	"Amino acids"
"B02AB"	"Proteinasehemmer"	"Proteinase inhibitors"
"B02B"	"VITAMIN K UND ANDERE HÄMOSTATIKA"	"Vitamin K and other hemostatics"
"B02BA"	"Vitamin K"	"Vitamin K"
"B02BB"	"Fibrinogene"	"Fibrinogen"
"B02BC"	"Lokale Hämostatika"	"Local hemostatics"
"B02BD"	"Blutgerinnungsfaktoren"	"Blood coagulation factors"
"B02BP"	"Pflanzliche Antihämorrhagika"	NA
"B02BX"	"Andere systemische Hämostatika"	"Other systemic hemostatics"
"B03"	"ANTIANÄMIKA"	"Antianemic drugs"
"B03A"	"EISEN-HALTIGE ZUBEREITUNGEN"	"Iron preparations"
"B03AA"	"Eisen zweiwertig, orale Zubereitungen"	"Iron bivalent, oral preparations"
"B03AB"	"Eisen dreiwertig, orale Zubereitungen"	"Iron trivalent, oral preparations"
"B03AC"	"Eisen, parenterale Zubereitungen"	"Iron, parenteral preparations"
"B03AD"	"Eisen in Kombination mit Folsäure"	"Iron in combination with folic acid"
"B03AE"	"Eisen in anderen Kombinationen"	"Iron in other combinations"
"B03B"	"VITAMIN B12 UND FOLSÄURE"	"Vitamin B12 and folic acid"
"B03BA"	"Vitamin B12 (Cyanocobalamin und Analoga)"	"Vitamin B12 (cyanocobalamin and analogues)"
"B03BB"	"Folsäure und Derivate"	"Folic acid and derivatives"
"B03X"	"ANDERE ANTIANÄMIKA"	"Other antianemic preparations"
"B03XA"	"Andere Antianämika"	"Other antianemic preparations"
"B03XH"	"Homöopathische und anthroposophische Antianämika"	NA
"B05"	"BLUTERSATZMITTEL UND PERFUSIONSLÖSUNGEN"	"Blood substitutes and perfusion solutions"
"B05A"	"BLUT UND VERWANDTE PRODUKTE"	"Blood and related products"
"B05AA"	"Blutersatzmittel und Plasmaproteinfraktionen"	"Blood substitutes and plasma protein fractions"
"B05AX"	"Andere Blutprodukte"	"Other blood products"
"B05B"	"I.V.-LÖSUNGEN"	"I.V. solutions"
"B05BA"	"Lösungen zur parenteralen Ernährung"	"Solutions for parenteral nutrition"
"B05BB"	"Lösungen mit Wirkung auf den Elektrolythaushalt"	"Solutions affecting the electrolyte balance"
"B05BC"	"Osmodiuretika"	"Solutions producing osmotic diuresis"
"B05C"	"SPÜLLÖSUNGEN"	"Irrigating solutions"
"B05CA"	"Antiinfektiva"	"Antiinfectives"
"B05CB"	"Salzlösungen"	"Salt solutions"
"B05CX"	"Andere Spüllösungen"	"Other irrigating solutions"
"B05D"	"LÖSUNGEN ZUR PERITONEALDIALYSE"	"Peritoneal dialytics"
"B05DA"	"Isotone Lösungen"	"Isotonic solutions"
"B05DB"	"Hypertone Lösungen"	"Hypertonic solutions"
"B05X"	"ADDITIVA ZU I.V.-LÖSUNGEN"	"I.V. solution additives"
"B05XA"	"Elektrolytlösungen"	"Electrolyte solutions"
"B05XB"	"Aminosäuren"	"Amino acids"
"B05XC"	"Vitamine"	"Vitamins"
"B05XX"	"Andere Additiva zu i.v.-Lösungen"	"Other i.v. solution additives"
"B05Z"	"HÄMODIALYSEKONZENTRATE UND HÄMOFILTRATE"	"Hemodialytics and hemofiltrates"
"B05ZA"	"Hämodialysekonzentrate"	"Hemodialytics, concentrates"
"B05ZB"	"Hämofiltrate"	"Hemofiltrates"
"B06"	"ANDERE HÄMATOLOGIKA"	"Other hematologic drugs"
"B06A"	"ANDERE HÄMATOLOGIKA"	"Other hematologic drugs"
"B06AA"	"Enzyme"	"Enzymes"
"B06AB"	"Andere Hämprodukte"	"Other hematological products"
"B06AC"	"Mittel zur Behandlung des Hereditären Angioödems"	"Drugs used in hereditary angioedema"
"C"	"KARDIOVASKULÄRES SYSTEM"	"Cardiovascular system"
"C01"	"HERZTHERAPIE"	"Cardiac therapy"
"C01A"	"HERZGLYKOSIDE"	"Cardiac glycosides list"
"C01AA"	"Digitalisglykoside"	"Digitalis glycosides"
"C01AB"	"Scillaglykoside"	"Scilla glycosides"
"C01AC"	"Strophantusglykoside"	"Strophantus glycosides"
"C01AH"	"Homöopathische und anthroposophische Zubereitungen mit Herzglykosiden"	NA
"C01AP"	"Andere pflanzliche Zubereitungen mit Herzglykosiden"	NA
"C01AX"	"Andere Herzglykoside"	"Other cardiac glycosides"
"C01B"	"ANTIARRHYTHMIKA, KLASSE I UND III"	"Class 1 and 3 antiarrhythmic drugs"
"C01BA"	"Antiarrhythmika, Klasse Ia"	"Class 1a antiarrhythmic drugs"
"C01BB"	"Antiarrhythmika, Klasse Ib"	"Class 1b antiarrhythmic drugs"
"C01BC"	"Antiarrhythmika, Klasse Ic"	"Class 1c antiarrhythmic drugs"
"C01BD"	"Antiarrhythmika, Klasse III"	"Class 3 antiarrhythmic drugs"
"C01BG"	"Andere Antiarrhythmika, Klasse I und III"	"Class 1 and 3 antiarrhythmic drugs"
"C01C"	"KARDIOSTIMULANZIEN, EXKL. HERZGLYKOSIDE"	"Cardiac stimulants excluding cardiac glycosides"
"C01CA"	"Adrenerge und dopaminerge Mittel"	"Adrenergic and dopaminergic agents"
"C01CB"	"Ephedrin-Derivate"	NA
"C01CE"	"Phosphodiesterasehemmer"	"Phosphodiesterase inhibitors drugs"
"C01CH"	"Homöopathische und anthroposophische Kardiostimulanzien"	NA
"C01CX"	"Andere Kardiostimulanzien"	"Other cardiac stimulants drugs"
"C01D"	"BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN"	"Vasodilators used in cardiac diseases"
"C01DA"	"Organische Nitrate"	"Organic nitrates"
"C01DB"	"Chinolon-Vasodilatatoren"	"Quinolone vasodilators"
"C01DX"	"Andere bei Herzerkrankungen eingesetzte Vasodilatatoren"	"Other vasodilators used in cardiac diseases"
"C01E"	"ANDERE HERZMITTEL"	"Other cardiac preparations"
"C01EA"	"Prostaglandine"	"Prostaglandins"
"C01EB"	"Andere Herzmittel"	"Other cardiac preparations"
"C01EH"	"Andere homöopathische und anthroposophische Herzmittel"	NA
"C01EP"	"Andere pflanzliche Herzmittel"	NA
"C01EX"	"Andere Herzmittel, Kombinationen"	NA
"C02"	"ANTIHYPERTENSIVA"	"Antihypertensive drugs"
"C02A"	"ANTIADRENERGE MITTEL, ZENTRAL WIRKEND"	"Antiadrenergic agents, centrally acting"
"C02AA"	"Rauwolfia-Alkaloide"	"Rauvolfia alkaloids"
"C02AB"	"Methyldopa"	"Methyldopa"
"C02AC"	"Imidazolin-Rezeptoragonisten"	"Imidazoline receptor agonists"
"C02AP"	"Pflanzliche antiadrenerge Mittel, zentral wirkend"	NA
"C02B"	"ANTIADRENERGE MITTEL, GANGLIENBLOCKER"	"Antiadrenergic agents, ganglion-blocking"
"C02BA"	"Sulfonium-Derivate"	"Sulfonium derivatives"
"C02BB"	"Sekundäre und tertiäre Amine"	"Secondary and tertiary amines"
"C02BC"	"Bisquartäre Ammonium-Verbindungen"	"Bisquaternary ammonium compounds"
"C02C"	"ANTIADRENERGE MITTEL, PERIPHER WIRKEND"	"Antiadrenergic agents, peripherally acting"
"C02CA"	"Alpha-Adrenozeptor-Antagonisten"	"Alpha-adrenoreceptor antagonists"
"C02CC"	"Guanidin-Derivate"	"Guanidine derivatives"
"C02D"	"MITTEL MIT WIRKUNG AUF DIE ARTERIELLE GEFÄSSMUSKULATUR"	"Arteriolar smooth muscle, agents acting on"
"C02DA"	"Thiazid-Derivate"	"Thiazide derivatives"
"C02DB"	"Hydrazinophthalazin-Derivate"	"Hydrazinophthalazine derivatives"
"C02DC"	"Pyrimidin-Derivate"	"Pyrimidine derivatives"
"C02DD"	"Nitroferrocyanid-Derivate"	"Nitroferricyanide derivatives"
"C02DG"	"Guanidin-Derivate"	"Guanidine derivatives"
"C02K"	"ANDERE ANTIHYPERTENSIVA"	"Other antihypertensives"
"C02KA"	"Alkaloide, exkl. Rauwolfia"	"Alkaloids, excluding rauwolfia"
"C02KB"	"Tyrosinhydroxylasehemmer"	"Tyrosine hydroxylase inhibitors"
"C02KC"	"MAO-Hemmer"	"MAO inhibitors"
"C02KD"	"Serotonin-Antagonisten"	"Serotonin antagonists"
"C02KH"	"Homöopathische und anthroposophische Antihypertensiva"	NA
"C02KP"	"Pflanzliche Antihypertensiva"	NA
"C02KX"	"Antihypertensiva zur Behandlung der pulmonalen arteriellen Hypertonie"	"Antihypertensives for pulmonary arterial hypertension"
"C02L"	"ANTIHYPERTENSIVA UND DIURETIKA IN KOMBINATION"	"Antihypertensives and diuretics in combination"
"C02LA"	"Rauwolfia-Alkaloide und Diuretika in Kombination"	"Rauwolfia alkaloids and diuretics in combination"
"C02LB"	"Methyldopa und Diuretika in Kombination"	"Methyldopa and diuretics in combination"
"C02LC"	"Imidazolin-Rezeptoragonisten in Kombination mit Diuretika"	"Imidazoline receptor agonists in combination with diuretics"
"C02LE"	"Alpha-Adrenozeptor-Antagonisten und Diuretika"	"Alpha-adrenoreceptor antagonists and diuretics"
"C02LF"	"Guanidin-Derivate und Diuretika"	"Guanidine derivatives and diuretics"
